losshier,accuracyhier,losslin,accuracylin,absence,absence_perc,hierarchical,hierarchical_perc,linear,linear_perc
2.8371197891235354,0.6200000047683716,2.9495848083496092,0.6200000047683716,46,92.0,16,32.0,16,32.0
2.232163144350052,0.6600000262260437,2.726299877464771,0.6200000047683716,47,94.0,19,38.0,15,30.0
2.9626089668273927,0.6800000071525574,2.9866848182678223,0.6100000143051147,48,96.0,20,40.0,13,26.0
2.631628952026367,0.7099999785423279,2.9371413230895995,0.6000000238418579,47,94.0,24,48.0,13,26.0
1.652683401107788,0.7699999809265137,2.8814486521482467,0.5899999737739563,49,98.0,28,56.00000000000001,10,20.0
2.8954760932922365,0.7099999785423279,2.590605583190918,0.6299999952316284,49,98.0,22,44.0,14,28.000000000000004
2.3495183634757995,0.7300000190734863,2.7775104308128356,0.6299999952316284,48,96.0,25,50.0,15,30.0
1.8956661796569825,0.7300000190734863,3.651039581298828,0.5400000214576721,45,90.0,28,56.00000000000001,9,18.0
3.235293216705322,0.6600000262260437,2.1245133435525347,0.6700000166893005,49,98.0,17,34.0,18,36.0
2.690049507319927,0.6800000071525574,2.7199930572509765,0.5699999928474426,48,96.0,20,40.0,9,18.0
2.6529072523117065,0.699999988079071,3.6944480609893797,0.5699999928474426,49,98.0,21,42.0,8,16.0
1.8120060920715333,0.6899999976158142,3.419768199920654,0.5899999737739563,49,98.0,20,40.0,10,20.0
3.03042772769928,0.6600000262260437,3.2895904350280762,0.5899999737739563,48,96.0,18,36.0,11,22.0
1.9635843467712402,0.7300000190734863,3.5353388214111328,0.550000011920929,49,98.0,24,48.0,6,12.0
1.4488932275772095,0.75,3.6296172523498536,0.5400000214576721,46,92.0,29,57.99999999999999,8,16.0
1.9913883123919367,0.6899999976158142,3.21022518157959,0.5699999928474426,46,92.0,23,46.0,11,22.0
3.0467663192749024,0.699999988079071,2.5073134231567384,0.6399999856948853,50,100.0,20,40.0,14,28.000000000000004
2.480484867095947,0.6600000262260437,2.6230852794647217,0.6200000047683716,47,94.0,19,38.0,15,30.0
2.699659814834595,0.6700000166893005,2.8342284774780273,0.6200000047683716,49,98.0,18,36.0,13,26.0
2.353982030153288,0.7099999785423279,2.594354268312468,0.6499999761581421,48,96.0,23,46.0,17,34.0
2.7432689797494096,0.6899999976158142,2.856178226470947,0.6399999856948853,49,98.0,20,40.0,15,30.0
2.740053424835205,0.7200000286102295,2.6228333377838133,0.6299999952316284,49,98.0,23,46.0,14,28.000000000000004
2.39910551071167,0.7099999785423279,3.2054309320449828,0.6600000262260437,49,98.0,22,44.0,17,34.0
1.8847766724228858,0.800000011920929,3.111850395202637,0.6000000238418579,50,100.0,30,60.0,10,20.0
2.7260397720336913,0.7099999785423279,3.1398159408569337,0.5899999737739563,49,98.0,22,44.0,10,20.0
2.0348331451416017,0.7400000095367432,3.7249656677246095,0.5699999928474426,50,100.0,24,48.0,7,14.000000000000002
1.9145939805731178,0.6899999976158142,3.0324849700927734,0.6000000238418579,49,98.0,20,40.0,11,22.0
2.9657479095458985,0.7099999785423279,3.0143305388838053,0.6100000143051147,50,100.0,21,42.0,11,22.0
1.7648559821560048,0.7200000286102295,3.7552505016326903,0.5299999713897705,46,92.0,26,52.0,7,14.000000000000002
3.091057929992676,0.7300000190734863,3.171685047149658,0.6100000143051147,49,98.0,24,48.0,12,24.0
1.9705466170556611,0.7099999785423279,3.922859010696411,0.5199999809265137,47,94.0,24,48.0,5,10.0
1.6918217372894286,0.6499999761581421,2.6308295154571533,0.5799999833106995,44,88.0,21,42.0,14,28.000000000000004
2.827957715988159,0.6800000071525574,3.1273927688598633,0.5600000023841858,47,94.0,21,42.0,9,18.0
1.711036242544651,0.7099999785423279,3.037444933950901,0.5799999833106995,47,94.0,24,48.0,11,22.0
3.475289976000786,0.6399999856948853,3.2167886686325073,0.5600000023841858,45,90.0,19,38.0,11,22.0
2.991783046722412,0.6499999761581421,3.0166200017929077,0.6399999856948853,47,94.0,18,36.0,17,34.0
2.113399658203125,0.6700000166893005,3.1540906548500063,0.6000000238418579,48,96.0,19,38.0,12,24.0
3.0197959899902345,0.6399999856948853,2.664491548538208,0.6399999856948853,50,100.0,14,28.000000000000004,14,28.000000000000004
1.936371341641643,0.7699999809265137,4.124882955551147,0.550000011920929,47,94.0,30,60.0,8,16.0
2.5719921493530276,0.7099999785423279,2.0039485120773315,0.6399999856948853,48,96.0,23,46.0,16,32.0
2.7476448225975036,0.7200000286102295,2.9019944000244142,0.5600000023841858,49,98.0,23,46.0,7,14.000000000000002
2.7562828826904298,0.7099999785423279,3.640826301574707,0.550000011920929,47,94.0,24,48.0,8,16.0
2.4986473083496095,0.7300000190734863,2.9297336864471437,0.6299999952316284,50,100.0,23,46.0,13,26.0
2.9559870624542235,0.6800000071525574,2.398737235069275,0.6600000262260437,47,94.0,21,42.0,19,38.0
2.699370288848877,0.6899999976158142,4.046056575775147,0.550000011920929,47,94.0,22,44.0,8,16.0
2.388919219970703,0.7200000286102295,3.3834430885314943,0.5899999737739563,48,96.0,24,48.0,11,22.0
2.1447849920392037,0.7400000095367432,3.205955924987793,0.5699999928474426,47,94.0,27,54.0,10,20.0
1.7759669256210326,0.7300000190734863,3.2766779851913452,0.5699999928474426,48,96.0,25,50.0,9,18.0
2.9411351394653322,0.699999988079071,3.743191108703613,0.5400000214576721,47,94.0,23,46.0,7,14.000000000000002
2.661322135925293,0.6600000262260437,2.123165717124939,0.7099999785423279,50,100.0,16,32.0,21,42.0
1.7816467952728272,0.7099999785423279,2.352703166007996,0.6200000047683716,48,96.0,23,46.0,14,28.000000000000004
2.4513225382566453,0.6899999976158142,3.3949569910764694,0.5799999833106995,48,96.0,21,42.0,10,20.0
2.585762767791748,0.7200000286102295,2.857536277770996,0.5600000023841858,48,96.0,24,48.0,8,16.0
2.672538525760174,0.6899999976158142,3.4775402423739434,0.5799999833106995,47,94.0,22,44.0,11,22.0
3.733896942138672,0.6399999856948853,2.5889218623936174,0.699999988079071,50,100.0,14,28.000000000000004,20,40.0
2.5988448333740233,0.6899999976158142,2.9469920349121095,0.5799999833106995,46,92.0,23,46.0,12,24.0
2.2168337059020997,0.6800000071525574,2.7542670249938963,0.6499999761581421,48,96.0,20,40.0,17,34.0
2.143058545291424,0.7200000286102295,2.9363142395019532,0.5600000023841858,49,98.0,23,46.0,7,14.000000000000002
2.014990973472595,0.7300000190734863,3.020349593162537,0.5400000214576721,48,96.0,25,50.0,6,12.0
1.1460753228055547,0.8299999833106995,4.092389535903931,0.5299999713897705,48,96.0,35,70.0,5,10.0
1.5805595541000366,0.7099999785423279,2.976141052246094,0.5600000023841858,46,92.0,25,50.0,10,20.0
3.130860300064087,0.6299999952316284,2.306038055419922,0.6299999952316284,47,94.0,16,32.0,16,32.0
2.7888705062866213,0.7200000286102295,4.048975219726563,0.5600000023841858,48,96.0,24,48.0,8,16.0
2.656315558962524,0.7099999785423279,2.649132533073425,0.6200000047683716,48,96.0,23,46.0,14,28.000000000000004
3.2524966621398925,0.6200000047683716,2.9301265573501585,0.6200000047683716,47,94.0,15,30.0,15,30.0
2.623909482136369,0.6800000071525574,3.7546959686279298,0.5799999833106995,48,96.0,20,40.0,10,20.0
2.2874735167203473,0.6299999952316284,3.110748014450073,0.6100000143051147,46,92.0,17,34.0,15,30.0
2.434332180023193,0.7699999809265137,3.454207191467285,0.5600000023841858,47,94.0,30,60.0,9,18.0
2.640073412358761,0.7099999785423279,2.41173885345459,0.6899999976158142,49,98.0,22,44.0,20,40.0
2.9989011168479918,0.6800000071525574,3.3287040901184084,0.5799999833106995,49,98.0,19,38.0,9,18.0
2.248137969970703,0.7400000095367432,2.860841752178967,0.5699999928474426,49,98.0,25,50.0,8,16.0
2.0990643703937533,0.6700000166893005,3.1267848014831543,0.5199999809265137,45,90.0,22,44.0,7,14.000000000000002
2.2127925539016724,0.6899999976158142,3.009174919128418,0.5799999833106995,47,94.0,22,44.0,11,22.0
2.062213354110718,0.7300000190734863,3.465942687988281,0.6000000238418579,49,98.0,24,48.0,11,22.0
1.6067760467529297,0.7699999809265137,3.6925267421640457,0.5699999928474426,48,96.0,29,57.99999999999999,9,18.0
2.5896207523345947,0.7099999785423279,3.2150938595284244,0.5799999833106995,49,98.0,22,44.0,9,18.0
2.693816355790477,0.6700000166893005,3.790851001739502,0.550000011920929,47,94.0,20,40.0,8,16.0
2.1829034280776978,0.7300000190734863,3.6218147897720336,0.5699999928474426,48,96.0,25,50.0,9,18.0
2.111435811072588,0.7200000286102295,3.271937255859375,0.5899999737739563,49,98.0,23,46.0,10,20.0
