losshier,accuracyhier,losslin,accuracylin,absence,absence_perc,hierarchical,hierarchical_perc,linear,linear_perc
3.366487646102905,0.6700000166893005,1.7909694081544876,0.699999988079071,50,100.0,17,34.0,20,40.0
3.656857814788818,0.6499999761581421,1.8687853622436523,0.6700000166893005,49,98.0,16,32.0,18,36.0
3.7035668754577635,0.6800000071525574,1.746863555908203,0.7099999785423279,50,100.0,18,36.0,21,42.0
3.4821698760986326,0.6000000238418579,2.284011195320636,0.7099999785423279,47,94.0,13,26.0,24,48.0
3.831336784362793,0.6299999952316284,1.624844937324524,0.7300000190734863,48,96.0,15,30.0,25,50.0
3.6639973137900235,0.6100000143051147,2.21055042963475,0.699999988079071,49,98.0,12,24.0,21,42.0
3.669053249359131,0.6200000047683716,2.041496787071228,0.6399999856948853,47,94.0,15,30.0,17,34.0
3.1917704725265503,0.6700000166893005,2.3245597076416016,0.6600000262260437,49,98.0,18,36.0,17,34.0
3.8859126281738283,0.6200000047683716,1.5854629230499269,0.7300000190734863,49,98.0,13,26.0,24,48.0
4.0820511627197265,0.6299999952316284,2.152985916137695,0.7200000286102295,50,100.0,13,26.0,22,44.0
3.197502301348759,0.6499999761581421,2.07391301454456,0.6499999761581421,48,96.0,17,34.0,17,34.0
3.170642852783203,0.6700000166893005,2.195171718597412,0.6800000071525574,50,100.0,17,34.0,18,36.0
3.2435683822631836,0.6299999952316284,2.098458137512207,0.6800000071525574,50,100.0,13,26.0,18,36.0
3.8078146743774415,0.6800000071525574,1.9156255532521755,0.7200000286102295,49,98.0,19,38.0,23,46.0
3.6464933013916014,0.6399999856948853,1.677748203277588,0.6800000071525574,48,96.0,16,32.0,20,40.0
3.7660929679870607,0.6299999952316284,2.2025136756896972,0.7300000190734863,50,100.0,13,26.0,23,46.0
3.0756418228149416,0.6700000166893005,2.7276841449737548,0.6800000071525574,49,98.0,18,36.0,19,38.0
3.6602285385131834,0.5699999928474426,1.7874044620990752,0.75,48,96.0,9,18.0,27,54.0
3.289998433282599,0.699999988079071,2.32581287114881,0.6800000071525574,50,100.0,20,40.0,18,36.0
4.099141292572021,0.6200000047683716,1.9574262404441833,0.6299999952316284,49,98.0,13,26.0,14,28.000000000000004
3.3303371925035026,0.6899999976158142,2.7808193969726562,0.6700000166893005,50,100.0,19,38.0,17,34.0
3.710375146865845,0.6600000262260437,1.5023618414613884,0.7400000095367432,50,100.0,16,32.0,24,48.0
3.9449024963378907,0.6000000238418579,1.4399528694152832,0.7699999809265137,50,100.0,10,20.0,27,54.0
3.2305489349365235,0.6600000262260437,1.9789378786087035,0.6800000071525574,50,100.0,16,32.0,18,36.0
2.900114507675171,0.6499999761581421,1.6725014662742614,0.6899999976158142,50,100.0,15,30.0,19,38.0
3.556518898010254,0.6200000047683716,1.5819544911384582,0.7200000286102295,48,96.0,14,28.000000000000004,24,48.0
3.403614316026651,0.6200000047683716,1.991121983568155,0.6899999976158142,48,96.0,14,28.000000000000004,21,42.0
3.099575481414795,0.6800000071525574,2.1056292772293093,0.6899999976158142,50,100.0,18,36.0,19,38.0
2.687444262504578,0.7099999785423279,2.1727662205696108,0.6800000071525574,49,98.0,22,44.0,19,38.0
2.4404994201660157,0.7799999713897705,2.625505886077881,0.5899999737739563,50,100.0,28,56.00000000000001,9,18.0
4.24077880859375,0.6100000143051147,1.9348062483593822,0.6800000071525574,49,98.0,12,24.0,19,38.0
3.5351156997680664,0.6499999761581421,1.6816884422302245,0.6899999976158142,49,98.0,16,32.0,20,40.0
3.6805605125427245,0.6499999761581421,2.124876365661621,0.6899999976158142,48,96.0,17,34.0,21,42.0
4.372399806976318,0.6200000047683716,1.5604177164286375,0.7200000286102295,50,100.0,12,24.0,22,44.0
3.3839906883239745,0.6399999856948853,1.530459757624194,0.7300000190734863,50,100.0,14,28.000000000000004,23,46.0
3.2321316528320314,0.6399999856948853,1.8988060235977173,0.6800000071525574,49,98.0,15,30.0,19,38.0
4.273529300689697,0.6499999761581421,2.067957036495209,0.7300000190734863,49,98.0,16,32.0,24,48.0
3.2783345413208007,0.6499999761581421,2.103072943687439,0.699999988079071,49,98.0,16,32.0,21,42.0
3.828023328781128,0.6299999952316284,1.5254227638244628,0.7200000286102295,49,98.0,14,28.000000000000004,23,46.0
3.265671948106028,0.6499999761581421,1.9153904997417703,0.7200000286102295,49,98.0,16,32.0,23,46.0
4.230694141387939,0.6299999952316284,1.7122745895385743,0.75,48,96.0,15,30.0,27,54.0
3.7752056074142457,0.6299999952316284,2.291536765098572,0.6899999976158142,50,100.0,13,26.0,19,38.0
3.4158055877685545,0.6100000143051147,1.8280190026760101,0.7400000095367432,50,100.0,11,22.0,24,48.0
2.4951359367370607,0.699999988079071,2.584548921585083,0.6499999761581421,49,98.0,21,42.0,16,32.0
3.2237253189086914,0.6499999761581421,2.446523967534304,0.6499999761581421,48,96.0,17,34.0,17,34.0
3.0172626209259032,0.6899999976158142,2.7583385014534,0.6000000238418579,47,94.0,22,44.0,13,26.0
3.5700715732574464,0.6700000166893005,1.8288858330249786,0.75,50,100.0,17,34.0,25,50.0
4.076800193786621,0.5899999737739563,2.106027021408081,0.7300000190734863,49,98.0,10,20.0,24,48.0
2.920362892150879,0.6700000166893005,2.2238329601287843,0.6600000262260437,49,98.0,18,36.0,17,34.0
4.179376525878906,0.6399999856948853,2.2851300621032715,0.7200000286102295,50,100.0,14,28.000000000000004,22,44.0
2.832171459197998,0.699999988079071,2.5342203163169326,0.6299999952316284,49,98.0,21,42.0,14,28.000000000000004
3.0674345302581787,0.6899999976158142,1.8090816575661302,0.7099999785423279,50,100.0,19,38.0,21,42.0
3.9808926963806153,0.6000000238418579,2.104590663909912,0.7200000286102295,48,96.0,12,24.0,24,48.0
3.565804557800293,0.6000000238418579,1.722506058216095,0.6600000262260437,48,96.0,12,24.0,18,36.0
4.367649307250977,0.6100000143051147,2.1104803228378297,0.7099999785423279,49,98.0,12,24.0,22,44.0
3.405997734069824,0.6700000166893005,2.4847144532203673,0.6800000071525574,50,100.0,17,34.0,18,36.0
3.7790211489930514,0.5799999833106995,2.071322536468506,0.699999988079071,47,94.0,11,22.0,23,46.0
3.2785886335372925,0.6399999856948853,1.8534735774993896,0.6600000262260437,49,98.0,15,30.0,17,34.0
2.938474609446712,0.6700000166893005,2.1235805054428054,0.6700000166893005,48,96.0,19,38.0,19,38.0
3.5169678688049317,0.6200000047683716,2.324839856624603,0.6700000166893005,49,98.0,13,26.0,18,36.0
3.408603515625,0.6299999952316284,1.6955627369880677,0.7200000286102295,50,100.0,13,26.0,22,44.0
3.4179692459106445,0.699999988079071,2.7119249725341796,0.6399999856948853,50,100.0,20,40.0,14,28.000000000000004
2.831858167648315,0.6700000166893005,2.51360803604126,0.6700000166893005,50,100.0,17,34.0,17,34.0
4.7356799125671385,0.5699999928474426,1.3150046554207802,0.7900000214576721,50,100.0,7,14.000000000000002,29,57.99999999999999
4.55119514465332,0.6000000238418579,1.5997235517669468,0.7400000095367432,49,98.0,11,22.0,25,50.0
3.55021107673645,0.6100000143051147,1.887753757238388,0.6800000071525574,49,98.0,12,24.0,19,38.0
4.082317695617676,0.6100000143051147,1.7801554203033447,0.7200000286102295,48,96.0,13,26.0,24,48.0
3.821647834777832,0.6299999952316284,2.1659772109985354,0.6700000166893005,50,100.0,13,26.0,17,34.0
3.6759643936157227,0.5799999833106995,1.8135180568695068,0.6800000071525574,49,98.0,9,18.0,19,38.0
4.085765021395637,0.5600000023841858,1.3609278231381905,0.8100000023841858,50,100.0,6,12.0,31,62.0
3.872499828338623,0.6299999952316284,1.9627806663513183,0.6800000071525574,47,94.0,16,32.0,21,42.0
