losshier,accuracyhier,losslin,accuracylin,absence,absence_perc,hierarchical,hierarchical_perc,linear,linear_perc
6.342768111228943,0.49000000953674316,0.7214964342117309,0.8199999928474426,46,92.0,3,6.0,36,72.0
6.003688516616822,0.5699999928474426,0.9515366205992177,0.8399999737739563,49,98.0,8,16.0,35,70.0
6.499072647094726,0.5,0.9240510940551758,0.8199999928474426,45,90.0,5,10.0,37,74.0
5.690163097381592,0.5,1.3623004473745823,0.75,41,82.0,9,18.0,34,68.0
5.9378715515136715,0.5099999904632568,1.4201571440696716,0.7200000286102295,45,90.0,6,12.0,27,54.0
7.355215721130371,0.4699999988079071,0.855431432723999,0.8199999928474426,46,92.0,1,2.0,36,72.0
6.920386123657226,0.5,0.6637815189361572,0.8100000023841858,46,92.0,4,8.0,35,70.0
6.914063844680786,0.5,1.7057014409452678,0.7900000214576721,49,98.0,1,2.0,30,60.0
6.186671886444092,0.47999998927116394,1.2983886051177977,0.7300000190734863,44,88.0,4,8.0,29,57.99999999999999
5.626602411270142,0.49000000953674316,0.8306038856506348,0.7799999713897705,44,88.0,5,10.0,34,68.0
5.678509044647217,0.5199999809265137,1.136522946357727,0.7599999904632568,47,94.0,5,10.0,29,57.99999999999999
6.733680419921875,0.4699999988079071,0.7719441127777099,0.8299999833106995,45,90.0,2,4.0,38,76.0
5.732545661926269,0.5299999713897705,0.7239317607879638,0.8399999737739563,48,96.0,5,10.0,36,72.0
6.73005482673645,0.49000000953674316,1.0177851758897305,0.7799999713897705,46,92.0,3,6.0,32,64.0
6.987426357269287,0.46000000834465027,1.612661452293396,0.7099999785423279,43,86.0,3,6.0,28,56.00000000000001
6.709700012207032,0.49000000953674316,0.8019615721702575,0.8199999928474426,46,92.0,3,6.0,36,72.0
6.507250823974609,0.44999998807907104,1.1055080556869508,0.7400000095367432,42,84.0,3,6.0,32,64.0
6.47531415939331,0.44999998807907104,1.1238699270784855,0.7099999785423279,41,82.0,4,8.0,30,60.0
6.963137893676758,0.38999998569488525,1.5763495622947812,0.6399999856948853,37,74.0,2,4.0,27,54.0
6.297996501922608,0.5099999904632568,1.2392632389068603,0.7599999904632568,47,94.0,4,8.0,29,57.99999999999999
5.614791106055491,0.5299999713897705,1.5772982025146485,0.699999988079071,44,88.0,9,18.0,26,52.0
6.0349008750915525,0.5299999713897705,1.1744108009338379,0.7900000214576721,46,92.0,7,14.000000000000002,33,66.0
6.701804790496826,0.5,2.2025364208221436,0.699999988079071,44,88.0,6,12.0,26,52.0
6.576776313781738,0.47999998927116394,1.2233388423919678,0.800000011920929,45,90.0,3,6.0,35,70.0
7.105918197631836,0.5199999809265137,0.8345681548118591,0.8100000023841858,46,92.0,6,12.0,35,70.0
6.470080852508545,0.5199999809265137,0.7168902492523194,0.8299999833106995,49,98.0,3,6.0,34,68.0
6.188113136291504,0.5199999809265137,0.40061851501464846,0.8700000047683716,49,98.0,3,6.0,38,76.0
6.425587425231933,0.4699999988079071,0.8372593856137246,0.8299999833106995,46,92.0,1,2.0,37,74.0
7.080046329498291,0.46000000834465027,0.8723588728904724,0.8299999833106995,44,88.0,2,4.0,39,78.0
6.646065816888585,0.49000000953674316,1.0579121685121209,0.8100000023841858,46,92.0,3,6.0,35,70.0
6.155598564147949,0.47999998927116394,1.9864171600341798,0.6899999976158142,44,88.0,4,8.0,25,50.0
6.651277484893799,0.5299999713897705,1.1758647418022157,0.7699999809265137,49,98.0,4,8.0,28,56.00000000000001
6.824254159927368,0.5199999809265137,0.8809865655004978,0.8199999928474426,49,98.0,3,6.0,33,66.0
6.35029857635498,0.4699999988079071,0.8397157859802246,0.7900000214576721,46,92.0,1,2.0,33,66.0
6.320075931549073,0.5099999904632568,0.9256901550292969,0.800000011920929,47,94.0,4,8.0,33,66.0
6.614212341308594,0.5,0.5982445621490479,0.8600000143051147,48,96.0,2,4.0,38,76.0
5.404001220564969,0.5099999904632568,1.1139963472892123,0.7799999713897705,44,88.0,7,14.000000000000002,34,68.0
5.735714740753174,0.5299999713897705,1.2444608879089356,0.7799999713897705,48,96.0,5,10.0,30,60.0
8.019706115722656,0.4099999964237213,1.9011172676086425,0.699999988079071,40,80.0,1,2.0,30,60.0
6.993035812377929,0.46000000834465027,0.3299678838253021,0.8899999856948853,46,92.0,0,0.0,43,86.0
7.160245971679688,0.4399999976158142,1.3527249526977538,0.7400000095367432,42,84.0,2,4.0,32,64.0
6.507896137237549,0.4699999988079071,0.902925089597702,0.7599999904632568,44,88.0,3,6.0,32,64.0
6.07548565864563,0.49000000953674316,1.0815679618396097,0.7900000214576721,46,92.0,3,6.0,33,66.0
6.089324798583984,0.550000011920929,0.808981544971466,0.8600000143051147,49,98.0,6,12.0,37,74.0
6.416789779663086,0.47999998927116394,0.8260665035247803,0.800000011920929,45,90.0,3,6.0,35,70.0
5.787386054992676,0.5199999809265137,0.9598301476240159,0.8100000023841858,46,92.0,6,12.0,35,70.0
6.206678847931325,0.5299999713897705,0.6314493557438254,0.8399999737739563,49,98.0,4,8.0,35,70.0
6.745402526855469,0.47999998927116394,0.7578172511421144,0.7900000214576721,46,92.0,2,4.0,33,66.0
7.10426290512085,0.4699999988079071,1.2851345443725586,0.8100000023841858,44,88.0,3,6.0,37,74.0
5.566128368377686,0.5199999809265137,1.0720616960525513,0.7799999713897705,46,92.0,6,12.0,32,64.0
5.808888092041015,0.550000011920929,1.485610752105713,0.7900000214576721,48,96.0,7,14.000000000000002,31,62.0
5.835615119934082,0.5199999809265137,0.7681742936372757,0.7900000214576721,47,94.0,5,10.0,32,64.0
6.199385890960693,0.5,0.93395900785923,0.7900000214576721,45,90.0,5,10.0,34,68.0
6.113067855834961,0.5199999809265137,0.6903126285120379,0.8299999833106995,49,98.0,3,6.0,34,68.0
5.030419502258301,0.5400000214576721,1.2159106349945068,0.7099999785423279,46,92.0,8,16.0,25,50.0
6.284038314819336,0.47999998927116394,1.699987246771343,0.7099999785423279,42,84.0,6,12.0,29,57.99999999999999
5.444789752960205,0.550000011920929,1.6796012523490935,0.7099999785423279,46,92.0,9,18.0,25,50.0
7.332256336212158,0.4699999988079071,1.2319305562973022,0.8299999833106995,44,88.0,3,6.0,39,78.0
6.623589057922363,0.46000000834465027,1.0308884525299071,0.7900000214576721,42,84.0,4,8.0,37,74.0
6.174664134979248,0.5099999904632568,1.6253000062951468,0.7699999809265137,44,88.0,7,14.000000000000002,33,66.0
6.895789375305176,0.5199999809265137,0.5639920234714009,0.8999999761581421,50,100.0,2,4.0,40,80.0
6.443289680480957,0.49000000953674316,0.9840936398506165,0.7799999713897705,45,90.0,4,8.0,33,66.0
6.63379165649414,0.47999998927116394,0.9273932044953108,0.8199999928474426,44,88.0,4,8.0,38,76.0
6.053838987350463,0.5,1.0215927289798856,0.8100000023841858,46,92.0,4,8.0,35,70.0
6.290860061645508,0.49000000953674316,0.7108911895751953,0.8299999833106995,47,94.0,2,4.0,36,72.0
5.48734920501709,0.5600000023841858,0.9622752428054809,0.8199999928474426,49,98.0,7,14.000000000000002,33,66.0
6.332645111083984,0.5099999904632568,0.9306850433349609,0.8100000023841858,47,94.0,4,8.0,34,68.0
6.8629964828491214,0.49000000953674316,1.0525712409615517,0.8999999761581421,47,94.0,2,4.0,43,86.0
6.211424102783203,0.49000000953674316,1.3210240554809571,0.7400000095367432,46,92.0,3,6.0,28,56.00000000000001
6.75406623840332,0.49000000953674316,0.5294467493891716,0.8799999952316284,47,94.0,2,4.0,41,82.0
5.45666464805603,0.5299999713897705,0.6004542601108551,0.8600000143051147,49,98.0,4,8.0,37,74.0
6.078389701843261,0.47999998927116394,0.9626329421997071,0.7699999809265137,45,90.0,3,6.0,32,64.0
6.920482921600342,0.47999998927116394,1.5399873089790344,0.8199999928474426,46,92.0,2,4.0,36,72.0
7.058519287109375,0.44999998807907104,1.3076542901992798,0.6899999976158142,39,78.0,6,12.0,30,60.0
6.479979248046875,0.550000011920929,1.098017579317093,0.8299999833106995,49,98.0,6,12.0,34,68.0
6.674038982391357,0.49000000953674316,0.8094086784124375,0.8199999928474426,46,92.0,3,6.0,36,72.0
6.392163848876953,0.47999998927116394,0.6369753003120422,0.8100000023841858,45,90.0,3,6.0,36,72.0
5.754370307922363,0.5199999809265137,1.0366226959228515,0.75,46,92.0,6,12.0,29,57.99999999999999
7.646486473083496,0.44999998807907104,0.7236331176757812,0.8399999737739563,45,90.0,0,0.0,39,78.0
6.894706864375621,0.49000000953674316,0.5506309557147324,0.8999999761581421,48,96.0,1,2.0,42,84.0
6.07075439453125,0.5400000214576721,0.7525632882118225,0.8399999737739563,50,100.0,4,8.0,34,68.0
6.166691361069679,0.5199999809265137,0.6940363597869873,0.8199999928474426,47,94.0,5,10.0,35,70.0
6.747702941894532,0.4699999988079071,0.513658946454525,0.8500000238418579,47,94.0,0,0.0,38,76.0
6.564085922241211,0.44999998807907104,1.732181224822998,0.7400000095367432,41,82.0,4,8.0,33,66.0
6.753352890014648,0.5099999904632568,0.5836139231920242,0.8700000047683716,49,98.0,2,4.0,38,76.0
6.795150299072265,0.5099999904632568,0.6638739202078432,0.8500000238418579,49,98.0,2,4.0,36,72.0
6.551423492431641,0.47999998927116394,0.6952366745471954,0.8199999928474426,46,92.0,2,4.0,36,72.0
6.070024814605713,0.49000000953674316,0.7496833300590515,0.800000011920929,45,90.0,4,8.0,35,70.0
5.466265363246203,0.5099999904632568,1.0277560424804688,0.7699999809265137,44,88.0,7,14.000000000000002,33,66.0
6.917393932342529,0.47999998927116394,1.947054433003068,0.6899999976158142,45,90.0,3,6.0,24,48.0
6.878270520865917,0.49000000953674316,0.780964135825634,0.8399999737739563,47,94.0,2,4.0,37,74.0
5.9962138748168945,0.5099999904632568,1.0209912505745888,0.7699999809265137,46,92.0,5,10.0,31,62.0
6.171374645233154,0.5199999809265137,0.905695905610919,0.8299999833106995,46,92.0,6,12.0,37,74.0
6.170570659637451,0.5099999904632568,1.1318366502784192,0.7900000214576721,46,92.0,5,10.0,33,66.0
6.733236465454102,0.4699999988079071,1.211537504196167,0.7699999809265137,43,86.0,4,8.0,34,68.0
6.9582184791564945,0.46000000834465027,0.5799321699142456,0.8500000238418579,46,92.0,0,0.0,39,78.0
6.664300727844238,0.5,0.6437378692626953,0.8500000238418579,47,94.0,3,6.0,38,76.0
6.586407814025879,0.47999998927116394,0.4693865576386452,0.8399999737739563,45,90.0,3,6.0,39,78.0
7.08704909324646,0.4699999988079071,1.1908114528656006,0.7400000095367432,44,88.0,3,6.0,30,60.0
6.337722625732422,0.49000000953674316,1.6275059127807616,0.6700000166893005,43,86.0,6,12.0,24,48.0
