losshier,accuracyhier,losslin,accuracylin,absence,absence_perc,hierarchical,hierarchical_perc,linear,linear_perc
1.6576586270332336,0.7900000214576721,3.2975205153226854,0.5899999737739563,47,94.0,32,64.0,12,24.0
1.4332602687180043,0.800000011920929,3.5159033203125,0.5699999928474426,50,100.0,30,60.0,7,14.000000000000002
1.9905595326423644,0.7400000095367432,2.506706886291504,0.6499999761581421,50,100.0,24,48.0,15,30.0
2.3203319433983416,0.75,2.6602579498291017,0.6399999856948853,50,100.0,25,50.0,14,28.000000000000004
1.9781183469295502,0.7200000286102295,3.6382160568237305,0.6299999952316284,50,100.0,22,44.0,13,26.0
1.8054581785202026,0.7300000190734863,2.8039720821380616,0.5899999737739563,48,96.0,25,50.0,11,22.0
1.6633234328124673,0.75,2.81239351272583,0.5600000023841858,48,96.0,27,54.0,8,16.0
2.3290761280059815,0.7300000190734863,3.3363061237335203,0.5699999928474426,49,98.0,24,48.0,8,16.0
1.7428714370727538,0.7599999904632568,3.7217323684692385,0.550000011920929,49,98.0,27,54.0,6,12.0
1.8419475364685058,0.7599999904632568,3.510579242706299,0.5799999833106995,49,98.0,27,54.0,9,18.0
1.3070052003860473,0.8199999928474426,2.963651909828186,0.5899999737739563,49,98.0,33,66.0,10,20.0
2.9926190942525865,0.6700000166893005,3.339608325958252,0.5899999737739563,50,100.0,17,34.0,9,18.0
1.815537898093462,0.800000011920929,3.676226997375488,0.5799999833106995,50,100.0,30,60.0,8,16.0
2.27685435295105,0.6700000166893005,3.1199432373046876,0.6100000143051147,48,96.0,19,38.0,13,26.0
2.3100537109375,0.6800000071525574,2.1819938868284225,0.6499999761581421,48,96.0,20,40.0,17,34.0
2.683756103515625,0.6800000071525574,3.0492314386367796,0.6200000047683716,49,98.0,19,38.0,13,26.0
1.2315323953330517,0.8299999833106995,3.0156669855117797,0.5799999833106995,50,100.0,33,66.0,8,16.0
1.9822940707206727,0.75,3.005768909454346,0.5899999737739563,50,100.0,25,50.0,9,18.0
1.540648968219757,0.7900000214576721,2.7682094407081603,0.6000000238418579,49,98.0,30,60.0,11,22.0
1.7779820919036866,0.7799999713897705,2.9895404243469237,0.5899999737739563,50,100.0,28,56.00000000000001,9,18.0
1.8767811799049376,0.7300000190734863,3.21779146194458,0.5799999833106995,48,96.0,25,50.0,10,20.0
2.042136001586914,0.7599999904632568,2.953282619714737,0.6000000238418579,50,100.0,26,52.0,10,20.0
1.6102143239974975,0.75,2.9190366744995115,0.6100000143051147,50,100.0,25,50.0,11,22.0
1.1447149467468263,0.7599999904632568,2.6678197886096315,0.6399999856948853,49,98.0,27,54.0,15,30.0
2.002218542098999,0.7300000190734863,3.2287083435058594,0.5799999833106995,49,98.0,24,48.0,9,18.0
2.52052547454834,0.7400000095367432,2.9955998611450196,0.6200000047683716,49,98.0,25,50.0,13,26.0
1.1795516967773438,0.8199999928474426,3.9546031188964843,0.5099999904632568,48,96.0,34,68.0,3,6.0
2.024626975795254,0.7799999713897705,3.4033654935564845,0.5600000023841858,50,100.0,28,56.00000000000001,6,12.0
1.8317961630225181,0.7400000095367432,3.3885414886474607,0.5600000023841858,46,92.0,28,56.00000000000001,10,20.0
1.9437549099326135,0.7300000190734863,2.824179697036743,0.5899999737739563,49,98.0,24,48.0,10,20.0
1.505219690799713,0.7799999713897705,3.8759609985351564,0.5400000214576721,49,98.0,29,57.99999999999999,5,10.0
1.796967134475708,0.7300000190734863,2.907126922607422,0.5799999833106995,49,98.0,24,48.0,9,18.0
1.8733679008483888,0.699999988079071,3.1441922855377196,0.6000000238418579,48,96.0,22,44.0,12,24.0
1.8701187801361083,0.7400000095367432,2.842953004837036,0.6000000238418579,48,96.0,26,52.0,12,24.0
1.6513212106376887,0.7099999785423279,2.373439030647278,0.6100000143051147,49,98.0,22,44.0,12,24.0
1.3877969646453858,0.7300000190734863,3.133914451599121,0.550000011920929,48,96.0,25,50.0,7,14.000000000000002
2.1580803871154783,0.75,2.9040133571624756,0.6299999952316284,50,100.0,25,50.0,13,26.0
1.9570262455940246,0.7099999785423279,3.710572520494461,0.6000000238418579,49,98.0,22,44.0,11,22.0
1.8663475227355957,0.7900000214576721,2.620886163711548,0.6100000143051147,50,100.0,29,57.99999999999999,11,22.0
2.0671892547607422,0.75,3.528137617111206,0.5899999737739563,49,98.0,26,52.0,10,20.0
1.0094945049302988,0.8700000047683716,3.917120323181152,0.5699999928474426,50,100.0,37,74.0,7,14.000000000000002
2.038286957740784,0.7799999713897705,2.8738877677917483,0.5699999928474426,50,100.0,28,56.00000000000001,7,14.000000000000002
2.7369880986213686,0.75,2.6790711212158205,0.6399999856948853,50,100.0,25,50.0,14,28.000000000000004
1.2554033756256104,0.8299999833106995,3.7693394470214843,0.5400000214576721,49,98.0,34,68.0,5,10.0
2.5400955200195314,0.6700000166893005,2.5418719339370726,0.6399999856948853,49,98.0,18,36.0,15,30.0
1.8281946581602098,0.7900000214576721,3.616633863449097,0.6100000143051147,50,100.0,29,57.99999999999999,11,22.0
2.2174944400787355,0.6899999976158142,2.915547180175781,0.6200000047683716,50,100.0,19,38.0,12,24.0
2.871868667602539,0.6800000071525574,2.5831020355224608,0.6700000166893005,50,100.0,18,36.0,17,34.0
1.5789708662033082,0.7300000190734863,2.856332607269287,0.6299999952316284,49,98.0,24,48.0,14,28.000000000000004
2.5153688907623293,0.699999988079071,2.833580584526062,0.6399999856948853,49,98.0,21,42.0,15,30.0
