run,loss,accuracy,absence,absence_perc,hierarchical,hierarchical_perc,train_size
1,1.4229677194356918,0.800000011920929,50,100.0,30,60.0,200
2,2.4081911182403566,0.7300000190734863,46,92.0,27,54.0,200
3,1.9306352973959293,0.7099999785423279,45,90.0,26,52.0,200
4,2.5336679935455324,0.6899999976158142,45,90.0,24,48.0,200
5,1.1597597455978395,0.8100000023841858,47,94.0,34,68.0,200
6,2.404558775126934,0.6600000262260437,45,90.0,21,42.0,200
7,1.5709060621261597,0.800000011920929,50,100.0,30,60.0,200
8,1.0218998289108276,0.8299999833106995,49,98.0,34,68.0,200
9,0.9904998534917832,0.8100000023841858,47,94.0,34,68.0,200
10,1.6113151741027831,0.7599999904632568,48,96.0,28,56.00000000000001,200
11,0.8234754115343094,0.8399999737739563,49,98.0,35,70.0,200
12,1.2347763347625733,0.8100000023841858,50,100.0,31,62.0,200
13,2.871284008026123,0.7099999785423279,48,96.0,23,46.0,200
14,1.435579183427617,0.75,47,94.0,28,56.00000000000001,200
15,1.5373749423027039,0.7400000095367432,48,96.0,26,52.0,200
16,1.317861542776227,0.7799999713897705,47,94.0,31,62.0,200
17,1.9147888175398111,0.7599999904632568,47,94.0,29,57.99999999999999,200
18,1.8132382678985595,0.7300000190734863,41,82.0,32,64.0,200
19,1.932691640853882,0.6499999761581421,37,74.0,28,56.00000000000001,200
20,1.345659523010254,0.8100000023841858,48,96.0,33,66.0,200
21,1.739130163192749,0.7200000286102295,45,90.0,27,54.0,200
22,1.744079246520996,0.75,49,98.0,26,52.0,200
23,2.6373860263824462,0.6600000262260437,45,90.0,21,42.0,200
24,1.9896696186065674,0.7400000095367432,47,94.0,27,54.0,200
25,2.8004262495040892,0.699999988079071,47,94.0,23,46.0,200
26,1.671051917076111,0.7400000095367432,43,86.0,31,62.0,200
27,1.2708036518096923,0.8100000023841858,49,98.0,32,64.0,200
28,1.4734102058410645,0.7400000095367432,49,98.0,25,50.0,200
29,2.1495727944374083,0.7200000286102295,49,98.0,23,46.0,200
30,1.585986301600933,0.7300000190734863,48,96.0,25,50.0,200
31,1.8007565641403198,0.75,47,94.0,28,56.00000000000001,200
32,2.122613830566406,0.6899999976158142,47,94.0,22,44.0,200
33,1.483812563419342,0.7599999904632568,46,92.0,30,60.0,200
34,1.8465778255462646,0.7799999713897705,48,96.0,30,60.0,200
35,1.570810890197754,0.7900000214576721,50,100.0,29,57.99999999999999,200
36,1.2974081134796143,0.7599999904632568,45,90.0,31,62.0,200
37,1.4764930868148805,0.75,49,98.0,26,52.0,200
38,1.0647200524806977,0.8399999737739563,47,94.0,37,74.0,200
39,1.6133079884946346,0.7799999713897705,48,96.0,30,60.0,200
40,1.417378578186035,0.7599999904632568,47,94.0,29,57.99999999999999,200
41,1.2492791831493377,0.800000011920929,46,92.0,34,68.0,200
42,2.4741695976257323,0.7099999785423279,46,92.0,25,50.0,200
43,0.9893388652428985,0.8199999928474426,46,92.0,36,72.0,200
44,1.6827736252895555,0.7200000286102295,49,98.0,23,46.0,200
45,1.8250182604789733,0.7200000286102295,45,90.0,27,54.0,200
46,2.3662702906131745,0.7300000190734863,46,92.0,27,54.0,200
47,1.5455525189638137,0.8299999833106995,49,98.0,34,68.0,200
48,1.4030238151550294,0.75,48,96.0,27,54.0,200
49,1.5543984603881835,0.8100000023841858,49,98.0,32,64.0,200
50,1.6492676666378976,0.7599999904632568,44,88.0,32,64.0,200
51,1.1222691762447357,0.8399999737739563,50,100.0,34,68.0,200
52,1.3912179374694824,0.7699999809265137,47,94.0,30,60.0,200
53,2.308171787261963,0.6600000262260437,45,90.0,21,42.0,200
54,2.0186268043518067,0.6499999761581421,45,90.0,20,40.0,200
55,1.290404381752014,0.7699999809265137,46,92.0,31,62.0,200
56,1.785866346359253,0.7400000095367432,46,92.0,28,56.00000000000001,200
57,1.6769205284118653,0.7300000190734863,47,94.0,26,52.0,200
58,1.6399931907653809,0.7099999785423279,47,94.0,24,48.0,200
59,1.6657189011573792,0.7300000190734863,46,92.0,27,54.0,200
60,1.207202548980713,0.8100000023841858,49,98.0,32,64.0,200
61,2.0136646127700804,0.7300000190734863,48,96.0,25,50.0,200
62,1.4855682945251465,0.7699999809265137,42,84.0,35,70.0,200
63,1.0157404682040214,0.7799999713897705,47,94.0,31,62.0,200
64,1.8206093101203442,0.75,45,90.0,30,60.0,200
65,1.4579838943481445,0.7699999809265137,47,94.0,30,60.0,200
66,1.2417292594909668,0.7599999904632568,47,94.0,29,57.99999999999999,200
67,2.033842160701779,0.7900000214576721,49,98.0,30,60.0,200
68,1.2569890213012695,0.7599999904632568,46,92.0,30,60.0,200
