run,loss,accuracy,absence,absence_perc,hierarchical,hierarchical_perc,train_size
1,4.697521352767945,0.5699999928474426,38,76.0,19,38.0,100
2,2.3736326261051,0.6800000071525574,44,88.0,24,48.0,100
3,2.886143226623535,0.6499999761581421,45,90.0,20,40.0,100
4,3.853636608123779,0.5600000023841858,40,80.0,16,32.0,100
5,3.056197509765625,0.6800000071525574,43,86.0,25,50.0,100
6,2.817517825290561,0.6899999976158142,47,94.0,22,44.0,100
7,2.998584728240967,0.6000000238418579,45,90.0,15,30.0,100
8,2.9987205782160165,0.6499999761581421,41,82.0,24,48.0,100
9,3.0292691802978515,0.6800000071525574,45,90.0,23,46.0,100
10,4.023427534401417,0.6100000143051147,46,92.0,15,30.0,100
11,3.2179384422302246,0.6899999976158142,47,94.0,22,44.0,100
12,2.7017573261260988,0.6299999952316284,40,80.0,23,46.0,100
13,2.81325065612793,0.5899999737739563,45,90.0,14,28.000000000000004,100
14,3.8782707595825197,0.5799999833106995,36,72.0,22,44.0,100
15,2.795596466064453,0.699999988079071,44,88.0,26,52.0,100
16,4.531351301893592,0.550000011920929,42,84.0,13,26.0,100
17,4.62774359703064,0.6200000047683716,46,92.0,16,32.0,100
18,3.188510036468506,0.6700000166893005,46,92.0,21,42.0,100
19,3.805424156188965,0.6100000143051147,42,84.0,19,38.0,100
20,2.410206356048584,0.7200000286102295,49,98.0,23,46.0,100
21,3.9055324840545653,0.5899999737739563,36,72.0,23,46.0,100
22,2.5226136207580567,0.6399999856948853,41,82.0,23,46.0,100
23,2.559173307418823,0.7300000190734863,47,94.0,26,52.0,100
24,2.958935422897339,0.6100000143051147,40,80.0,21,42.0,100
25,3.279765224456787,0.5799999833106995,34,68.0,24,48.0,100
26,3.412050933837891,0.6000000238418579,42,84.0,18,36.0,100
27,3.2140515851974487,0.6700000166893005,40,80.0,27,54.0,100
28,2.556480398178101,0.6899999976158142,42,84.0,27,54.0,100
29,2.9728581184521317,0.699999988079071,47,94.0,23,46.0,100
30,2.735963724143803,0.75,48,96.0,27,54.0,100
31,3.690463008880615,0.6299999952316284,43,86.0,20,40.0,100
32,2.8048003005981443,0.6100000143051147,44,88.0,17,34.0,100
33,3.5234515380859377,0.6499999761581421,44,88.0,21,42.0,100
34,3.185996246337891,0.6299999952316284,44,88.0,19,38.0,100
35,2.9364823150634765,0.6299999952316284,45,90.0,18,36.0,100
36,3.448379497528076,0.6100000143051147,42,84.0,19,38.0,100
37,2.412827339172363,0.6899999976158142,44,88.0,25,50.0,100
38,2.987179811000824,0.699999988079071,47,94.0,23,46.0,100
39,2.3877193260192873,0.6800000071525574,42,84.0,26,52.0,100
40,3.1975668334960936,0.6200000047683716,41,82.0,21,42.0,100
41,4.359706039428711,0.5600000023841858,39,78.0,17,34.0,100
42,3.347480158805847,0.6700000166893005,46,92.0,21,42.0,100
43,3.551769676208496,0.5899999737739563,43,86.0,16,32.0,100
44,3.7153807735443114,0.550000011920929,34,68.0,21,42.0,100
45,2.6607709884643556,0.6899999976158142,45,90.0,24,48.0,100
46,2.537370434105396,0.6600000262260437,44,88.0,22,44.0,100
47,3.932421798706055,0.6499999761581421,50,100.0,15,30.0,100
48,2.4939488792419433,0.6499999761581421,45,90.0,20,40.0,100
49,2.7381297874450685,0.6499999761581421,41,82.0,24,48.0,100
