run,loss,accuracy,absence,absence_perc,hierarchical,hierarchical_perc,train_size
1,0.05326856671832502,0.9900000095367432,50,100.0,49,98.0,700
2,0.07005367800593376,0.9700000286102295,50,100.0,47,94.0,700
3,0.03848676475929096,0.9700000286102295,50,100.0,47,94.0,700
4,0.0023926848825067282,1.0,50,100.0,50,100.0,700
5,0.014258553637191654,0.9900000095367432,50,100.0,49,98.0,700
6,0.05030545856803656,0.9800000190734863,50,100.0,48,96.0,700
7,0.004672841965220869,1.0,50,100.0,50,100.0,700
8,0.035623875853489154,0.9900000095367432,50,100.0,49,98.0,700
9,0.1737048883526586,0.9900000095367432,50,100.0,49,98.0,700
10,0.023567593861371278,0.9800000190734863,50,100.0,48,96.0,700
11,0.19730081471148878,0.9599999785423279,50,100.0,46,92.0,700
12,0.001996852701122407,1.0,50,100.0,50,100.0,700
13,0.015892724394798278,0.9900000095367432,50,100.0,49,98.0,700
14,0.04041739055886864,0.9800000190734863,50,100.0,48,96.0,700
15,0.04175665497781665,0.9900000095367432,50,100.0,49,98.0,700
16,0.005763087803497911,1.0,50,100.0,50,100.0,700
17,0.03632697184191784,0.9900000095367432,50,100.0,49,98.0,700
18,0.06708765944815241,0.9700000286102295,50,100.0,47,94.0,700
19,0.051933972457190974,0.9800000190734863,50,100.0,48,96.0,700
20,0.1782059232937172,0.9800000190734863,50,100.0,48,96.0,700
21,0.0025707849790342152,1.0,50,100.0,50,100.0,700
22,0.011113034915179015,1.0,50,100.0,50,100.0,700
23,0.048358264858834446,0.9900000095367432,50,100.0,49,98.0,700
24,0.009067314947023987,1.0,50,100.0,50,100.0,700
25,0.014235432520508766,1.0,50,100.0,50,100.0,700
26,0.16045969177037478,0.9700000286102295,50,100.0,47,94.0,700
27,0.12681115767918527,0.9599999785423279,50,100.0,46,92.0,700
28,0.0861282292753458,0.9700000286102295,50,100.0,47,94.0,700
29,0.14789575845003128,0.9800000190734863,50,100.0,48,96.0,700
30,0.001451140025164932,1.0,50,100.0,50,100.0,700
31,0.01812281128950417,0.9900000095367432,50,100.0,49,98.0,700
32,0.04066213384270668,0.9900000095367432,50,100.0,49,98.0,700
33,0.0352830001572147,0.9900000095367432,50,100.0,49,98.0,700
34,0.014499253183603287,0.9900000095367432,50,100.0,49,98.0,700
35,0.012497838602866978,1.0,50,100.0,50,100.0,700
36,0.002593295932747424,1.0,50,100.0,50,100.0,700
37,0.0020121211814694106,1.0,50,100.0,50,100.0,700
38,0.08280082307755947,0.9700000286102295,50,100.0,47,94.0,700
39,0.004897276328410954,1.0,50,100.0,50,100.0,700
40,0.09659681048244238,0.9900000095367432,50,100.0,49,98.0,700
41,0.015824753525666892,0.9900000095367432,50,100.0,49,98.0,700
42,0.043111808432731775,0.9800000190734863,50,100.0,48,96.0,700
43,0.006991145261563361,1.0,50,100.0,50,100.0,700
44,0.041858976564835754,0.9800000190734863,50,100.0,48,96.0,700
45,0.05122648216784,0.9700000286102295,50,100.0,47,94.0,700
46,0.03390431322157383,0.9900000095367432,50,100.0,49,98.0,700
47,0.03131024941802025,0.9900000095367432,50,100.0,49,98.0,700
48,0.008766110265860334,0.9900000095367432,50,100.0,49,98.0,700
49,0.0031604053266346454,1.0,50,100.0,50,100.0,700
50,0.01084156018216163,1.0,50,100.0,50,100.0,700
51,0.4038133635371923,0.9599999785423279,50,100.0,46,92.0,700
52,0.13415910091018304,0.9599999785423279,50,100.0,46,92.0,700
53,0.0008869071782100946,1.0,50,100.0,50,100.0,700
54,0.03842529386281967,0.9900000095367432,50,100.0,49,98.0,700
55,0.028895799121819436,0.9900000095367432,50,100.0,49,98.0,700
56,0.14448231941554696,0.9800000190734863,50,100.0,48,96.0,700
57,0.12515851029660552,0.9900000095367432,50,100.0,49,98.0,700
58,0.012339000348001719,0.9900000095367432,50,100.0,49,98.0,700
59,0.0680444757899386,0.9900000095367432,50,100.0,49,98.0,700
60,0.03731804508715868,0.9900000095367432,50,100.0,49,98.0,700
61,0.021836101305671037,0.9900000095367432,50,100.0,49,98.0,700
62,0.007082162941806018,1.0,50,100.0,50,100.0,700
63,0.012460274668410421,1.0,50,100.0,50,100.0,700
64,0.001765393608948216,1.0,50,100.0,50,100.0,700
65,0.037579004373401406,0.9900000095367432,50,100.0,49,98.0,700
66,0.061666849530301986,0.9800000190734863,50,100.0,48,96.0,700
67,0.08443251543678343,0.9800000190734863,50,100.0,48,96.0,700
68,0.01019904263317585,1.0,50,100.0,50,100.0,700
69,0.019115658365190028,0.9900000095367432,50,100.0,49,98.0,700
70,0.0562780487514101,0.9700000286102295,50,100.0,47,94.0,700
71,0.09254210997372865,0.9900000095367432,50,100.0,49,98.0,700
72,0.019785097031854094,0.9900000095367432,50,100.0,49,98.0,700
73,0.11675921127200127,0.9599999785423279,50,100.0,46,92.0,700
74,0.006977658621035516,1.0,50,100.0,50,100.0,700
75,0.14992824479471892,0.9800000190734863,50,100.0,48,96.0,700
76,0.05203112856834195,0.9800000190734863,50,100.0,48,96.0,700
77,0.08152985991651804,0.9900000095367432,50,100.0,49,98.0,700
78,0.1187951197300572,0.9800000190734863,50,100.0,48,96.0,700
79,0.008050355114974081,1.0,50,100.0,50,100.0,700
80,0.026398559054359793,0.9900000095367432,50,100.0,49,98.0,700
81,0.03780800141394138,0.9900000095367432,50,100.0,49,98.0,700
