run,loss,accuracy,absence,absence_perc,hierarchical,hierarchical_perc,train_size
1,0.0012234887928934768,1.0,50,100.0,50,100.0,900
2,0.0020714781212154776,1.0,50,100.0,50,100.0,900
3,0.001191826145077357,1.0,50,100.0,50,100.0,900
4,0.0023044951423071324,1.0,50,100.0,50,100.0,900
5,0.0812870978214778,0.9800000190734863,50,100.0,48,96.0,900
6,0.016848625268321486,0.9900000095367432,50,100.0,49,98.0,900
7,0.025143535044044256,0.9900000095367432,50,100.0,49,98.0,900
8,0.016541844280582155,0.9900000095367432,50,100.0,49,98.0,900
9,0.0028691515215905385,1.0,50,100.0,50,100.0,900
10,0.016794129046611487,0.9900000095367432,50,100.0,49,98.0,900
11,0.019136358548275893,0.9900000095367432,50,100.0,49,98.0,900
12,0.003794524401891977,1.0,50,100.0,50,100.0,900
13,0.0015416817448567599,1.0,50,100.0,50,100.0,900
14,0.0026369527587667106,1.0,50,100.0,50,100.0,900
15,0.0092328211478889,1.0,50,100.0,50,100.0,900
16,0.0006439982121810317,1.0,50,100.0,50,100.0,900
17,0.0050862544635310765,1.0,50,100.0,50,100.0,900
18,0.0010595834162086249,1.0,50,100.0,50,100.0,900
19,0.0014404971804469824,1.0,50,100.0,50,100.0,900
20,0.03266199293604586,0.9800000190734863,50,100.0,48,96.0,900
21,0.0009165264619514347,1.0,50,100.0,50,100.0,900
22,0.0014234649110585452,1.0,50,100.0,50,100.0,900
23,0.004740048874227795,1.0,50,100.0,50,100.0,900
24,0.012178900816943497,1.0,50,100.0,50,100.0,900
25,0.03262964852154255,0.9900000095367432,50,100.0,49,98.0,900
26,0.001116474624723196,1.0,50,100.0,50,100.0,900
27,0.12621453272062355,0.9800000190734863,50,100.0,48,96.0,900
28,0.004180777631991078,1.0,50,100.0,50,100.0,900
29,0.0014377074502408506,1.0,50,100.0,50,100.0,900
30,0.0022910911357030272,1.0,50,100.0,50,100.0,900
31,0.0013018932589329779,1.0,50,100.0,50,100.0,900
32,0.005467008238192648,1.0,50,100.0,50,100.0,900
33,0.005665911883115768,1.0,50,100.0,50,100.0,900
34,0.07994692377280443,0.9800000190734863,50,100.0,48,96.0,900
35,0.001526393056847155,1.0,50,100.0,50,100.0,900
36,0.023323577685514466,0.9900000095367432,50,100.0,49,98.0,900
37,0.06856491222089972,0.9900000095367432,50,100.0,49,98.0,900
38,0.03362679313402623,0.9900000095367432,50,100.0,49,98.0,900
39,0.08036661800579167,0.9800000190734863,50,100.0,48,96.0,900
40,0.004250097284093499,1.0,50,100.0,50,100.0,900
41,0.000747960563749075,1.0,50,100.0,50,100.0,900
42,0.00187128821387887,1.0,50,100.0,50,100.0,900
43,0.0018953810806851834,1.0,50,100.0,50,100.0,900
44,0.0017939034383744,1.0,50,100.0,50,100.0,900
45,0.0057084559451323,1.0,50,100.0,50,100.0,900
46,0.02412196746096015,0.9900000095367432,50,100.0,49,98.0,900
47,0.002934795711771585,1.0,50,100.0,50,100.0,900
48,0.006051282742992044,1.0,50,100.0,50,100.0,900
49,0.004529364076879574,1.0,50,100.0,50,100.0,900
50,0.002745890053920448,1.0,50,100.0,50,100.0,900
51,0.005461351834237575,1.0,50,100.0,50,100.0,900
52,0.0013447971642017364,1.0,50,100.0,50,100.0,900
53,0.007508563883602619,1.0,50,100.0,50,100.0,900
