run,loss,accuracy,absence,absence_perc,hierarchical,hierarchical_perc,train_size
1,0.4577196928486228,0.8899999856948853,50,100.0,39,78.0,400
2,0.22076911254785955,0.949999988079071,50,100.0,45,90.0,400
3,0.2689746729284525,0.949999988079071,50,100.0,45,90.0,400
4,0.33757918395102027,0.9399999976158142,49,98.0,45,90.0,400
5,0.2832644120592158,0.8999999761581421,49,98.0,41,82.0,400
6,0.42362093210220336,0.9300000071525574,50,100.0,43,86.0,400
7,0.7013824194297195,0.8999999761581421,50,100.0,40,80.0,400
8,0.2610173359885812,0.9300000071525574,50,100.0,43,86.0,400
9,0.7332590761780738,0.8999999761581421,50,100.0,40,80.0,400
10,0.19038166254758834,0.9300000071525574,50,100.0,43,86.0,400
11,0.6460682654380798,0.8799999952316284,50,100.0,38,76.0,400
12,0.30948656555265186,0.9300000071525574,50,100.0,43,86.0,400
13,0.30888702284544706,0.949999988079071,50,100.0,45,90.0,400
14,0.6078497896529734,0.8799999952316284,50,100.0,38,76.0,400
15,0.4078919953107834,0.9200000166893005,50,100.0,42,84.0,400
16,0.10641315549612046,0.949999988079071,50,100.0,45,90.0,400
17,0.22161277413368224,0.9200000166893005,50,100.0,42,84.0,400
18,0.30451327621936797,0.9200000166893005,50,100.0,42,84.0,400
19,0.10074103593826295,0.9700000286102295,48,96.0,49,98.0,400
20,0.3162438142299652,0.9300000071525574,49,98.0,44,88.0,400
21,0.45574429869651795,0.8899999856948853,50,100.0,39,78.0,400
22,0.32727295248478183,0.8999999761581421,47,94.0,43,86.0,400
23,0.531015916466713,0.9200000166893005,50,100.0,42,84.0,400
24,0.5667699752235785,0.9399999976158142,50,100.0,44,88.0,400
25,0.4907461468875408,0.9200000166893005,50,100.0,42,84.0,400
26,0.32566520690917966,0.9200000166893005,50,100.0,42,84.0,400
27,0.5356763336062431,0.9399999976158142,50,100.0,44,88.0,400
28,0.5579251861572265,0.9100000262260437,50,100.0,41,82.0,400
29,0.2785724990721792,0.9399999976158142,50,100.0,44,88.0,400
30,0.3649717443808913,0.949999988079071,50,100.0,45,90.0,400
31,0.30487875699996947,0.9200000166893005,50,100.0,42,84.0,400
32,0.6824255486577749,0.8899999856948853,50,100.0,39,78.0,400
33,0.3728878539800644,0.9300000071525574,50,100.0,43,86.0,400
34,0.23230050683021544,0.8999999761581421,50,100.0,40,80.0,400
35,0.4516263198852539,0.9300000071525574,50,100.0,43,86.0,400
36,0.4085044733644463,0.9200000166893005,50,100.0,42,84.0,400
37,0.39803139597177506,0.8999999761581421,50,100.0,40,80.0,400
38,0.29210882425308227,0.9100000262260437,50,100.0,41,82.0,400
39,0.49058712005615235,0.9399999976158142,50,100.0,44,88.0,400
40,0.3130962932901457,0.9599999785423279,50,100.0,46,92.0,400
41,0.9256632856279612,0.8999999761581421,50,100.0,40,80.0,400
42,0.3007645654678345,0.9100000262260437,50,100.0,41,82.0,400
43,0.20381747672130587,0.9200000166893005,49,98.0,43,86.0,400
44,0.20915796553716062,0.9399999976158142,49,98.0,45,90.0,400
45,0.3062885084748268,0.9700000286102295,50,100.0,47,94.0,400
46,0.5515333439409733,0.9200000166893005,50,100.0,42,84.0,400
47,0.31407895863056184,0.9100000262260437,50,100.0,41,82.0,400
48,0.20066717855632304,0.9599999785423279,50,100.0,46,92.0,400
49,0.24389661654829978,0.9100000262260437,50,100.0,41,82.0,400
50,0.23113198537379503,0.9399999976158142,50,100.0,44,88.0,400
51,0.3605353206396103,0.9599999785423279,50,100.0,46,92.0,400
52,0.29909143805503846,0.9300000071525574,50,100.0,43,86.0,400
53,0.31296935558319094,0.9200000166893005,50,100.0,42,84.0,400
54,0.24929965451359748,0.949999988079071,50,100.0,45,90.0,400
55,0.4348777843359858,0.9200000166893005,50,100.0,42,84.0,400
56,0.44782899096608164,0.9399999976158142,50,100.0,44,88.0,400
57,0.7576872579008341,0.9100000262260437,50,100.0,41,82.0,400
58,0.35188530824845654,0.9100000262260437,50,100.0,41,82.0,400
59,0.5259613163361792,0.8799999952316284,49,98.0,39,78.0,400
60,0.40824131553992626,0.949999988079071,50,100.0,45,90.0,400
61,0.5668193054199219,0.8700000047683716,50,100.0,37,74.0,400
62,0.3528242018632591,0.8899999856948853,50,100.0,39,78.0,400
63,0.7215638732910157,0.8399999737739563,48,96.0,36,72.0,400
64,0.3076027824240737,0.9200000166893005,50,100.0,42,84.0,400
65,0.8834797352552414,0.8799999952316284,50,100.0,38,76.0,400
66,0.5830843985080719,0.9200000166893005,50,100.0,42,84.0,400
67,0.5639974661171436,0.9300000071525574,50,100.0,43,86.0,400
68,0.11702542187646031,0.9599999785423279,50,100.0,46,92.0,400
69,0.46288478599861266,0.9399999976158142,50,100.0,44,88.0,400
70,0.09518255623057485,0.9599999785423279,50,100.0,46,92.0,400
71,0.2170891296863556,0.9200000166893005,50,100.0,42,84.0,400
72,0.3023396792123094,0.9300000071525574,50,100.0,43,86.0,400
73,0.741433367729187,0.8600000143051147,50,100.0,36,72.0,400
74,0.34444417655467985,0.9399999976158142,50,100.0,44,88.0,400
75,0.38837776275759095,0.8999999761581421,50,100.0,40,80.0,400
76,0.5481892670941306,0.9100000262260437,50,100.0,41,82.0,400
77,0.391418546885252,0.9200000166893005,50,100.0,42,84.0,400
78,0.4201412472128868,0.8899999856948853,50,100.0,39,78.0,400
79,0.7173998255981132,0.9100000262260437,50,100.0,41,82.0,400
80,0.3762692368030548,0.9200000166893005,50,100.0,42,84.0,400
81,0.580771164894104,0.8999999761581421,50,100.0,40,80.0,400
82,0.1106766985624563,0.9599999785423279,50,100.0,46,92.0,400
83,0.8979345262795687,0.8899999856948853,50,100.0,39,78.0,400
84,0.29643484473228454,0.9399999976158142,50,100.0,44,88.0,400
85,0.5250225466489792,0.8700000047683716,49,98.0,38,76.0,400
86,0.7710791420936585,0.8600000143051147,50,100.0,36,72.0,400
87,0.2101623054407537,0.9399999976158142,50,100.0,44,88.0,400
88,0.34232974153012036,0.9399999976158142,50,100.0,44,88.0,400
89,0.4142019628081471,0.9300000071525574,50,100.0,43,86.0,400
90,0.2539765611523762,0.9200000166893005,50,100.0,42,84.0,400
91,0.18178723368793726,0.9399999976158142,50,100.0,44,88.0,400
92,0.347770591378212,0.9599999785423279,50,100.0,46,92.0,400
93,0.5659523200948025,0.8999999761581421,48,96.0,42,84.0,400
94,0.4047850514482707,0.9300000071525574,50,100.0,43,86.0,400
95,0.49412782618775963,0.9100000262260437,50,100.0,41,82.0,400
96,0.2713584216684103,0.9399999976158142,50,100.0,44,88.0,400
97,0.6840730769606307,0.9200000166893005,50,100.0,42,84.0,400
98,0.36880158841609956,0.949999988079071,50,100.0,45,90.0,400
99,0.2068265289068222,0.9399999976158142,50,100.0,44,88.0,400
100,0.4649384877737612,0.949999988079071,50,100.0,45,90.0,400
