run,loss,accuracy,absence,absence_perc,hierarchical,hierarchical_perc,train_size
1,0.03063970811665058,0.9900000095367432,50,100.0,49,98.0,600
2,0.13009775355458258,0.9800000190734863,50,100.0,48,96.0,600
3,0.04802189400419593,0.9900000095367432,50,100.0,49,98.0,600
4,0.03643527567386627,0.9900000095367432,50,100.0,49,98.0,600
5,0.007579981926828623,1.0,50,100.0,50,100.0,600
6,0.06853399082785472,0.9900000095367432,50,100.0,49,98.0,600
7,0.07507214352488517,0.9900000095367432,50,100.0,49,98.0,600
8,0.09896747708320618,0.9599999785423279,50,100.0,46,92.0,600
9,0.030324480691924692,0.9900000095367432,50,100.0,49,98.0,600
10,0.02607134620193392,0.9800000190734863,50,100.0,48,96.0,600
11,0.06491823069751262,0.9800000190734863,50,100.0,48,96.0,600
12,0.099648759663105,0.9700000286102295,50,100.0,47,94.0,600
13,0.08570486843585969,0.9800000190734863,50,100.0,48,96.0,600
14,0.027184768691658975,0.9900000095367432,50,100.0,49,98.0,600
15,0.06947024751920253,0.9900000095367432,50,100.0,49,98.0,600
16,0.09435653836466372,0.9800000190734863,50,100.0,48,96.0,600
17,0.017315062755369582,1.0,50,100.0,50,100.0,600
18,0.018532904470339416,1.0,50,100.0,50,100.0,600
19,0.10847136447206139,0.9800000190734863,50,100.0,48,96.0,600
20,0.13910469071823173,0.9800000190734863,50,100.0,48,96.0,600
21,0.02225540153682232,1.0,50,100.0,50,100.0,600
22,0.03751466870307922,0.9800000190734863,50,100.0,48,96.0,600
23,0.0034396304935216905,1.0,50,100.0,50,100.0,600
24,0.0492143365717493,0.9800000190734863,50,100.0,48,96.0,600
25,0.06405174734536559,0.9800000190734863,50,100.0,48,96.0,600
26,0.08351315762382,0.9700000286102295,50,100.0,47,94.0,600
27,0.07124067571014166,0.9900000095367432,50,100.0,49,98.0,600
28,0.18470244634430855,0.9599999785423279,50,100.0,46,92.0,600
29,0.2235792994685471,0.9800000190734863,50,100.0,48,96.0,600
30,0.11267699752002955,0.9599999785423279,50,100.0,46,92.0,600
31,0.003156609465368092,1.0,50,100.0,50,100.0,600
32,0.21931935946922748,0.9599999785423279,50,100.0,46,92.0,600
33,0.03349151775240898,0.9800000190734863,50,100.0,48,96.0,600
34,0.07051865705288947,0.9900000095367432,50,100.0,49,98.0,600
35,0.014329017400741577,1.0,50,100.0,50,100.0,600
36,0.01636820655548945,1.0,50,100.0,50,100.0,600
37,0.1554354922194034,0.9800000190734863,50,100.0,48,96.0,600
38,0.18717472352087497,0.9800000190734863,50,100.0,48,96.0,600
39,0.10722923671302852,0.9599999785423279,50,100.0,46,92.0,600
40,0.008624974545091391,1.0,50,100.0,50,100.0,600
41,0.0031714813597500326,1.0,50,100.0,50,100.0,600
42,0.031069971323013305,0.9800000190734863,50,100.0,48,96.0,600
43,0.04512224104255438,0.9900000095367432,50,100.0,49,98.0,600
44,0.02122564220800996,0.9900000095367432,50,100.0,49,98.0,600
45,0.06300693360390142,0.9900000095367432,50,100.0,49,98.0,600
46,0.13971583860489772,0.9599999785423279,50,100.0,46,92.0,600
47,0.07778277280274778,0.9900000095367432,50,100.0,49,98.0,600
48,0.031153407245874405,0.9900000095367432,50,100.0,49,98.0,600
49,0.5402001400881272,0.9399999976158142,50,100.0,44,88.0,600
50,0.07443060762714594,0.9700000286102295,50,100.0,47,94.0,600
51,0.026750173366162925,0.9900000095367432,50,100.0,49,98.0,600
52,0.16360740154981612,0.9800000190734863,50,100.0,48,96.0,600
53,0.1627737178001553,0.9900000095367432,50,100.0,49,98.0,600
54,0.037856866959482434,0.9800000190734863,50,100.0,48,96.0,600
55,0.0931397164426744,0.9700000286102295,50,100.0,47,94.0,600
56,0.05902334328740835,0.9800000190734863,50,100.0,48,96.0,600
57,0.09291581169702112,0.9900000095367432,50,100.0,49,98.0,600
58,0.09537876725196838,0.9800000190734863,50,100.0,48,96.0,600
59,0.04465821653604508,0.9800000190734863,50,100.0,48,96.0,600
60,0.0917003770545125,0.9900000095367432,50,100.0,49,98.0,600
61,0.007699931282550096,1.0,50,100.0,50,100.0,600
62,0.07580565236276016,0.9700000286102295,50,100.0,47,94.0,600
63,0.18847350567579269,0.9700000286102295,50,100.0,47,94.0,600
64,0.015260262908414006,0.9900000095367432,50,100.0,49,98.0,600
65,0.03846451552162762,0.9900000095367432,50,100.0,49,98.0,600
66,0.14839581214822828,0.9599999785423279,50,100.0,46,92.0,600
67,0.3672063818573952,0.9399999976158142,50,100.0,44,88.0,600
68,0.21995396204292775,0.9700000286102295,50,100.0,47,94.0,600
69,0.02759761579334736,0.9900000095367432,50,100.0,49,98.0,600
70,0.3975071510206908,0.9399999976158142,50,100.0,44,88.0,600
71,0.04530697301030159,0.9900000095367432,50,100.0,49,98.0,600
72,0.05521987499007082,0.9900000095367432,50,100.0,49,98.0,600
73,0.04675565860234201,0.9900000095367432,50,100.0,49,98.0,600
74,0.07614891352015547,0.9800000190734863,50,100.0,48,96.0,600
75,0.1685095413029194,0.9800000190734863,50,100.0,48,96.0,600
76,0.2446793643385172,0.949999988079071,50,100.0,45,90.0,600
77,0.09673097968101502,0.9700000286102295,50,100.0,47,94.0,600
78,0.01665570041164756,0.9900000095367432,50,100.0,49,98.0,600
79,0.09486652970314026,0.949999988079071,50,100.0,45,90.0,600
80,0.2131829312304035,0.9700000286102295,50,100.0,47,94.0,600
81,0.02647732026875019,0.9900000095367432,50,100.0,49,98.0,600
82,0.09268976718187333,0.9599999785423279,50,100.0,46,92.0,600
83,0.14132229328155518,0.9700000286102295,50,100.0,47,94.0,600
84,0.03165537835797295,0.9900000095367432,50,100.0,49,98.0,600
85,0.07160929608682637,0.9800000190734863,50,100.0,48,96.0,600
86,0.22021361761726438,0.9700000286102295,50,100.0,47,94.0,600
87,0.030957034789025784,0.9900000095367432,50,100.0,49,98.0,600
88,0.40003371603321286,0.9300000071525574,50,100.0,43,86.0,600
89,0.009359541162848473,1.0,50,100.0,50,100.0,600
90,0.0925704609695822,0.9700000286102295,50,100.0,47,94.0,600
91,0.029892784506082536,0.9900000095367432,50,100.0,49,98.0,600
92,0.2707557040639222,0.949999988079071,50,100.0,45,90.0,600
93,0.1336587569420226,0.9700000286102295,50,100.0,47,94.0,600
94,0.005880381129682064,1.0,50,100.0,50,100.0,600
95,0.0039574446389451625,1.0,50,100.0,50,100.0,600
96,0.008227511942386627,1.0,50,100.0,50,100.0,600
97,0.012100944481790065,1.0,50,100.0,50,100.0,600
98,0.1328496415913105,0.9800000190734863,50,100.0,48,96.0,600
99,0.12327868446707725,0.9700000286102295,50,100.0,47,94.0,600
100,0.020344079518690706,1.0,50,100.0,50,100.0,600
