run,loss,accuracy,absence,absence_perc,hierarchical,hierarchical_perc,train_size
1,0.0026571276527829466,1.0,50,100.0,50,100.0,800
2,0.0031311239302158358,1.0,50,100.0,50,100.0,800
3,0.058688534069806335,0.9900000095367432,50,100.0,49,98.0,800
4,0.03343116041272878,0.9800000190734863,50,100.0,48,96.0,800
5,0.019160717185586693,0.9900000095367432,50,100.0,49,98.0,800
6,0.01964903894942836,0.9900000095367432,50,100.0,49,98.0,800
7,0.0036952434899285434,1.0,50,100.0,50,100.0,800
8,0.0017601358238607645,1.0,50,100.0,50,100.0,800
9,0.010778854209929705,1.0,50,100.0,50,100.0,800
10,0.02645451529766433,0.9900000095367432,50,100.0,49,98.0,800
11,0.0010902838903712108,1.0,50,100.0,50,100.0,800
12,0.0013009260408580303,1.0,50,100.0,50,100.0,800
13,0.0021181041048839687,1.0,50,100.0,50,100.0,800
14,0.09221370613202452,0.9900000095367432,50,100.0,49,98.0,800
15,0.04072405661921948,0.9900000095367432,50,100.0,49,98.0,800
16,0.021431939837057143,0.9900000095367432,50,100.0,49,98.0,800
17,0.0851554401870817,0.9700000286102295,50,100.0,47,94.0,800
18,0.004040923543507233,1.0,50,100.0,50,100.0,800
19,0.08647963274503127,0.9800000190734863,50,100.0,48,96.0,800
20,0.017981436063419096,1.0,50,100.0,50,100.0,800
21,0.001991419050609693,1.0,50,100.0,50,100.0,800
22,0.005949336301709991,1.0,50,100.0,50,100.0,800
23,0.3867290441459045,0.949999988079071,50,100.0,45,90.0,800
24,0.10794488462288428,0.9800000190734863,50,100.0,48,96.0,800
25,0.04960745297372341,0.9900000095367432,50,100.0,49,98.0,800
26,0.007862613126635552,1.0,50,100.0,50,100.0,800
27,0.04889808519161307,0.9900000095367432,50,100.0,49,98.0,800
28,0.02772655937820673,0.9900000095367432,50,100.0,49,98.0,800
29,0.021468696012161673,0.9900000095367432,50,100.0,49,98.0,800
30,0.003849734952673316,1.0,50,100.0,50,100.0,800
31,0.003987003490328789,1.0,50,100.0,50,100.0,800
32,0.002336082187248394,1.0,50,100.0,50,100.0,800
33,0.004742944017052651,1.0,50,100.0,50,100.0,800
34,0.005126798087731004,1.0,50,100.0,50,100.0,800
35,0.0018189207464456558,1.0,50,100.0,50,100.0,800
36,0.026295293197381397,0.9900000095367432,50,100.0,49,98.0,800
37,0.025966410487890244,0.9900000095367432,50,100.0,49,98.0,800
38,0.15075502610648983,0.9900000095367432,50,100.0,49,98.0,800
39,0.00600219915912021,1.0,50,100.0,50,100.0,800
40,0.007721675997599959,1.0,50,100.0,50,100.0,800
41,0.25391943053342403,0.9800000190734863,50,100.0,48,96.0,800
42,0.07968104515588494,0.9900000095367432,50,100.0,49,98.0,800
43,0.00381854374660179,1.0,50,100.0,50,100.0,800
44,0.06462183772586286,0.9800000190734863,50,100.0,48,96.0,800
45,0.0028285394236445428,1.0,50,100.0,50,100.0,800
46,0.00578749977692496,1.0,50,100.0,50,100.0,800
47,0.0011418929044157266,1.0,50,100.0,50,100.0,800
48,0.0011710202443646267,1.0,50,100.0,50,100.0,800
49,0.010017660837620497,1.0,50,100.0,50,100.0,800
50,0.01605331599712372,1.0,50,100.0,50,100.0,800
51,0.004121537264436484,1.0,50,100.0,50,100.0,800
52,0.0024461178481578827,1.0,50,100.0,50,100.0,800
53,0.05712698754505254,0.9900000095367432,50,100.0,49,98.0,800
54,0.007951500667259097,1.0,50,100.0,50,100.0,800
55,0.0018266433477401734,1.0,50,100.0,50,100.0,800
56,0.0024521429147716847,1.0,50,100.0,50,100.0,800
57,0.023460992479813286,0.9900000095367432,50,100.0,49,98.0,800
58,0.20327558519435115,0.9700000286102295,50,100.0,47,94.0,800
59,0.058346731181663926,0.9800000190734863,50,100.0,48,96.0,800
60,0.045119877606630325,0.9900000095367432,50,100.0,49,98.0,800
61,0.026514328792691232,0.9800000190734863,50,100.0,48,96.0,800
62,0.016475673061795534,0.9900000095367432,50,100.0,49,98.0,800
63,0.02927577495574951,0.9800000190734863,50,100.0,48,96.0,800
64,0.10480458282545442,0.9800000190734863,50,100.0,48,96.0,800
65,0.0010117457155138254,1.0,50,100.0,50,100.0,800
66,0.00928732131375,1.0,50,100.0,50,100.0,800
67,0.0030305815115571023,1.0,50,100.0,50,100.0,800
68,0.0034245198220014574,1.0,50,100.0,50,100.0,800
69,0.06269697621464729,0.9700000286102295,50,100.0,47,94.0,800
70,0.0017455924500245602,1.0,50,100.0,50,100.0,800
71,0.09784765038639306,0.9900000095367432,50,100.0,49,98.0,800
72,0.0030403277068398894,1.0,50,100.0,50,100.0,800
73,0.07234926953038666,0.9900000095367432,50,100.0,49,98.0,800
74,0.02386422300245613,0.9900000095367432,50,100.0,49,98.0,800
75,0.005725908682215959,1.0,50,100.0,50,100.0,800
76,0.053391902670264245,0.9900000095367432,50,100.0,49,98.0,800
77,0.002516334354877472,1.0,50,100.0,50,100.0,800
78,0.050703393642324956,0.9800000190734863,50,100.0,48,96.0,800
79,0.07135594780789688,0.9800000190734863,50,100.0,48,96.0,800
80,0.058620074409845985,0.9800000190734863,50,100.0,48,96.0,800
81,0.022649278193712236,0.9900000095367432,50,100.0,49,98.0,800
82,0.009481968767940998,1.0,50,100.0,50,100.0,800
83,0.03596466329763644,0.9900000095367432,50,100.0,49,98.0,800
84,0.035035391600686125,0.9900000095367432,50,100.0,49,98.0,800
85,0.04156506605446339,0.9900000095367432,50,100.0,49,98.0,800
86,0.0014247599430382253,1.0,50,100.0,50,100.0,800
87,0.02052148835733533,0.9900000095367432,50,100.0,49,98.0,800
88,0.001572556218598038,1.0,50,100.0,50,100.0,800
89,0.06645896486938,0.9900000095367432,50,100.0,49,98.0,800
90,0.10778174142702483,0.9900000095367432,50,100.0,49,98.0,800
91,0.016241428889334202,0.9900000095367432,50,100.0,49,98.0,800
92,0.009258680567145348,1.0,50,100.0,50,100.0,800
93,0.0029019715683534742,1.0,50,100.0,50,100.0,800
94,0.006948068216443062,1.0,50,100.0,50,100.0,800
95,0.010915810000151396,1.0,50,100.0,50,100.0,800
96,0.06150149130698992,0.9700000286102295,50,100.0,47,94.0,800
97,0.0038069279259070753,1.0,50,100.0,50,100.0,800
98,0.001265932102687657,1.0,50,100.0,50,100.0,800
99,0.05774445779999951,0.9900000095367432,50,100.0,49,98.0,800
100,0.018163680508732797,0.9900000095367432,50,100.0,49,98.0,800
