run,loss,accuracy,absence,absence_perc,hierarchical,hierarchical_perc,train_size
1,0.0006151944119483232,1.0,50,100.0,50,100.0,1000
2,0.07211564955476206,0.9700000286102295,50,100.0,47,94.0,1000
3,0.0007770810031797737,1.0,50,100.0,50,100.0,1000
4,0.05284682162106037,0.9900000095367432,50,100.0,49,98.0,1000
5,0.0018736859341152011,1.0,50,100.0,50,100.0,1000
6,0.0007168055587681011,1.0,50,100.0,50,100.0,1000
7,0.005331764386501164,1.0,50,100.0,50,100.0,1000
8,0.0021924583248619455,1.0,50,100.0,50,100.0,1000
9,0.0005169624066911638,1.0,50,100.0,50,100.0,1000
10,0.001946655762149021,1.0,50,100.0,50,100.0,1000
11,0.0009476857353001833,1.0,50,100.0,50,100.0,1000
12,0.002030788587871939,1.0,50,100.0,50,100.0,1000
13,0.0007550678425468504,1.0,50,100.0,50,100.0,1000
14,0.0015449215075932442,1.0,50,100.0,50,100.0,1000
15,0.001529820196738001,1.0,50,100.0,50,100.0,1000
16,0.0007839421124663204,1.0,50,100.0,50,100.0,1000
17,0.0009310839464887977,1.0,50,100.0,50,100.0,1000
18,0.0012852480541914702,1.0,50,100.0,50,100.0,1000
19,0.0006378102721646428,1.0,50,100.0,50,100.0,1000
20,0.001665147882886231,1.0,50,100.0,50,100.0,1000
21,0.0008974606299307198,1.0,50,100.0,50,100.0,1000
22,0.0010603953897953032,1.0,50,100.0,50,100.0,1000
23,0.001315132083836943,1.0,50,100.0,50,100.0,1000
24,0.001202723606256768,1.0,50,100.0,50,100.0,1000
25,0.008484094662126154,1.0,50,100.0,50,100.0,1000
26,0.018649485058558637,0.9900000095367432,50,100.0,49,98.0,1000
27,0.00039023615885525943,1.0,50,100.0,50,100.0,1000
28,0.0006195442276657559,1.0,50,100.0,50,100.0,1000
29,0.001310594822280109,1.0,50,100.0,50,100.0,1000
30,0.007445194679312408,1.0,50,100.0,50,100.0,1000
31,0.0011853211373090743,1.0,50,100.0,50,100.0,1000
32,0.00961876256391406,0.9900000095367432,50,100.0,49,98.0,1000
33,0.0017626224062405526,1.0,50,100.0,50,100.0,1000
34,0.0010960683436132968,1.0,50,100.0,50,100.0,1000
35,0.11054133252706379,0.9700000286102295,50,100.0,47,94.0,1000
36,0.0417010941542685,0.9900000095367432,50,100.0,49,98.0,1000
37,0.003545295670628548,1.0,50,100.0,50,100.0,1000
38,0.03674888727720827,0.9900000095367432,50,100.0,49,98.0,1000
39,0.0011394548555836081,1.0,50,100.0,50,100.0,1000
40,0.007934693172574043,1.0,50,100.0,50,100.0,1000
41,0.0011709183547645807,1.0,50,100.0,50,100.0,1000
42,0.002433873128029518,1.0,50,100.0,50,100.0,1000
43,0.005231838973704725,1.0,50,100.0,50,100.0,1000
44,0.0022653074411209673,1.0,50,100.0,50,100.0,1000
45,0.0016617687279358506,1.0,50,100.0,50,100.0,1000
46,0.0004949387931264937,1.0,50,100.0,50,100.0,1000
47,0.009079486262053252,0.9900000095367432,50,100.0,49,98.0,1000
48,0.012746556508354843,0.9900000095367432,50,100.0,49,98.0,1000
49,0.0007618870120495557,1.0,50,100.0,50,100.0,1000
50,0.0008687316236319021,1.0,50,100.0,50,100.0,1000
51,0.0011676767421886325,1.0,50,100.0,50,100.0,1000
52,0.05282023653388023,0.9800000190734863,50,100.0,48,96.0,1000
53,0.006939839087426663,1.0,50,100.0,50,100.0,1000
54,0.06763939126394689,0.9900000095367432,50,100.0,49,98.0,1000
55,0.0017893053160514683,1.0,50,100.0,50,100.0,1000
56,0.0013010010495781898,1.0,50,100.0,50,100.0,1000
57,0.0008733855187892914,1.0,50,100.0,50,100.0,1000
58,0.0007562494021840394,1.0,50,100.0,50,100.0,1000
59,0.008556465349392965,1.0,50,100.0,50,100.0,1000
60,0.0019366243528202176,1.0,50,100.0,50,100.0,1000
61,0.0019725297519471497,1.0,50,100.0,50,100.0,1000
62,0.0009388239833060652,1.0,50,100.0,50,100.0,1000
63,0.0028079780237749217,1.0,50,100.0,50,100.0,1000
64,0.0005466887925285846,1.0,50,100.0,50,100.0,1000
65,0.001658712700009346,1.0,50,100.0,50,100.0,1000
66,0.002513735443353653,1.0,50,100.0,50,100.0,1000
