loss,accuracy,absence,absence_perc,hierarchical,hierarchical_perc
9.792055082321166,0.07999999821186066,0,0.0,8,16.0
5.952280197143555,0.23000000417232513,21,42.0,2,4.0
10.307616691589356,0.09000000357627869,0,0.0,9,18.0
7.871747398376465,0.1599999964237213,5,10.0,11,22.0
7.196461505889893,0.10000000149011612,2,4.0,8,16.0
14.755831985473632,0.07999999821186066,0,0.0,8,16.0
8.453672180175781,0.03999999910593033,1,2.0,3,6.0
9.374614028930663,0.12999999523162842,4,8.0,9,18.0
9.96548583984375,0.10999999940395355,3,6.0,8,16.0
10.785495872497558,0.05000000074505806,0,0.0,5,10.0
12.80452808380127,0.10000000149011612,0,0.0,10,20.0
12.72676399230957,0.07000000029802322,0,0.0,7,14.000000000000002
10.345652770996093,0.07000000029802322,0,0.0,7,14.000000000000002
9.82369857788086,0.07000000029802322,0,0.0,7,14.000000000000002
8.531697597503662,0.05999999865889549,0,0.0,6,12.0
9.154348945617675,0.10000000149011612,0,0.0,10,20.0
9.466864242553712,0.12999999523162842,2,4.0,11,22.0
10.056952247619629,0.05000000074505806,0,0.0,5,10.0
9.835839977264405,0.05999999865889549,0,0.0,6,12.0
5.856063480377197,0.33000001311302185,31,62.0,2,4.0
11.925541763305665,0.07000000029802322,1,2.0,6,12.0
6.926216106414795,0.33000001311302185,32,64.0,1,2.0
13.757520599365234,0.07000000029802322,0,0.0,7,14.000000000000002
10.107923851013183,0.03999999910593033,0,0.0,4,8.0
12.138106994628906,0.07000000029802322,0,0.0,7,14.000000000000002
6.977098522186279,0.07999999821186066,3,6.0,5,10.0
10.365122814178466,0.07999999821186066,0,0.0,8,16.0
13.045999183654786,0.07999999821186066,2,4.0,6,12.0
5.844386444091797,0.44999998807907104,45,90.0,0,0.0
12.624273719787597,0.019999999552965164,0,0.0,2,4.0
13.244584503173828,0.03999999910593033,0,0.0,4,8.0
13.41931640625,0.09000000357627869,2,4.0,7,14.000000000000002
8.514784889221191,0.10999999940395355,0,0.0,11,22.0
5.713874359130859,0.09000000357627869,0,0.0,9,18.0
9.802028980255127,0.10000000149011612,2,4.0,8,16.0
10.070703372955322,0.12999999523162842,0,0.0,13,26.0
5.138269119262695,0.30000001192092896,25,50.0,5,10.0
8.90748836517334,0.10999999940395355,0,0.0,11,22.0
13.92642505645752,0.03999999910593033,0,0.0,4,8.0
9.561218185424805,0.10999999940395355,2,4.0,9,18.0
10.910822744369506,0.09000000357627869,0,0.0,9,18.0
5.393283500671386,0.07999999821186066,1,2.0,7,14.000000000000002
12.954750022888184,0.029999999329447746,0,0.0,3,6.0
10.876746978759765,0.05999999865889549,0,0.0,6,12.0
9.385218467712402,0.07999999821186066,2,4.0,6,12.0
10.520722312927246,0.10999999940395355,1,2.0,10,20.0
11.076491622924804,0.05000000074505806,0,0.0,5,10.0
15.548986778259277,0.019999999552965164,0,0.0,2,4.0
12.48096523284912,0.05000000074505806,0,0.0,5,10.0
9.192521362304687,0.05999999865889549,0,0.0,6,12.0
5.6972668266296385,0.3499999940395355,34,68.0,1,2.0
12.574899826049805,0.05000000074505806,0,0.0,5,10.0
11.794155693054199,0.05000000074505806,0,0.0,5,10.0
10.912444305419921,0.14000000059604645,7,14.000000000000002,7,14.000000000000002
8.157815132141113,0.05999999865889549,0,0.0,6,12.0
15.17301586151123,0.029999999329447746,0,0.0,3,6.0
10.643011054992677,0.09000000357627869,0,0.0,9,18.0
15.312190322875976,0.05000000074505806,0,0.0,5,10.0
11.372075119018554,0.05000000074505806,0,0.0,5,10.0
8.314226932525635,0.12999999523162842,2,4.0,11,22.0
14.614596939086914,0.07000000029802322,0,0.0,7,14.000000000000002
9.1268505859375,0.09000000357627869,0,0.0,9,18.0
7.911717395782471,0.10999999940395355,0,0.0,11,22.0
9.748561687469483,0.10000000149011612,0,0.0,10,20.0
14.70706787109375,0.07999999821186066,0,0.0,8,16.0
10.528927307128907,0.10000000149011612,2,4.0,8,16.0
11.78726921081543,0.07999999821186066,0,0.0,8,16.0
8.193114280700684,0.11999999731779099,8,16.0,4,8.0
14.275223121643066,0.05999999865889549,0,0.0,6,12.0
11.006089515686035,0.07000000029802322,0,0.0,7,14.000000000000002
11.478357620239258,0.05000000074505806,0,0.0,5,10.0
7.437600288391113,0.14000000059604645,10,20.0,4,8.0
10.333892593383789,0.029999999329447746,0,0.0,3,6.0
6.830380077362061,0.28999999165534973,23,46.0,6,12.0
5.032443313598633,0.11999999731779099,7,14.000000000000002,5,10.0
14.371271133422852,0.029999999329447746,0,0.0,3,6.0
11.15078125,0.12999999523162842,5,10.0,8,16.0
11.570218315124512,0.07999999821186066,0,0.0,8,16.0
12.099516983032226,0.05000000074505806,0,0.0,5,10.0
10.004996643066406,0.05999999865889549,3,6.0,3,6.0
10.776659049987792,0.019999999552965164,0,0.0,2,4.0
8.286934967041015,0.15000000596046448,6,12.0,9,18.0
8.074656639099121,0.05000000074505806,0,0.0,5,10.0
10.62136833190918,0.07999999821186066,4,8.0,4,8.0
12.473350677490235,0.10000000149011612,0,0.0,10,20.0
14.479759216308594,0.07999999821186066,0,0.0,8,16.0
10.86674472808838,0.05000000074505806,0,0.0,5,10.0
12.371626968383788,0.05999999865889549,0,0.0,6,12.0
13.138189125061036,0.10000000149011612,0,0.0,10,20.0
12.861327781677247,0.10000000149011612,3,6.0,7,14.000000000000002
12.804621047973633,0.03999999910593033,0,0.0,4,8.0
5.714959144592285,0.07999999821186066,0,0.0,8,16.0
7.3971461486816406,0.05000000074505806,0,0.0,5,10.0
