loss,accuracy,absence,absence_perc,hierarchical,hierarchical_perc
3.160919198989868,0.5600000023841858,49,98.0,7,14.000000000000002
1.9383518695831299,0.5799999833106995,45,90.0,13,26.0
2.4202343893051146,0.6000000238418579,50,100.0,10,20.0
3.6847307586669924,0.5699999928474426,46,92.0,11,22.0
6.326055297851562,0.3799999952316284,26,52.0,12,24.0
2.758998293876648,0.5299999713897705,38,76.0,15,30.0
2.5041346168518066,0.5299999713897705,32,64.0,21,42.0
2.094753065109253,0.6000000238418579,37,74.0,23,46.0
3.573422422409058,0.28999999165534973,14,28.000000000000004,15,30.0
5.20917444229126,0.5099999904632568,43,86.0,8,16.0
2.520437994003296,0.5199999809265137,33,66.0,19,38.0
2.1592619132995607,0.5,32,64.0,18,36.0
2.300412039756775,0.6700000166893005,46,92.0,21,42.0
2.521429977416992,0.6000000238418579,50,100.0,10,20.0
3.506188488006592,0.550000011920929,37,74.0,18,36.0
4.113157291412353,0.5699999928474426,50,100.0,7,14.000000000000002
6.051763000488282,0.5,47,94.0,3,6.0
2.2512905275821686,0.4300000071525574,29,57.99999999999999,14,28.000000000000004
3.383375587463379,0.36000001430511475,29,57.99999999999999,7,14.000000000000002
2.4424530410766603,0.5899999737739563,50,100.0,9,18.0
2.52463903427124,0.5400000214576721,42,84.0,12,24.0
7.222023029327392,0.17000000178813934,10,20.0,7,14.000000000000002
2.7855070602893828,0.6100000143051147,44,88.0,17,34.0
4.761888475418091,0.5,50,100.0,0,0.0
3.432700309753418,0.5899999737739563,47,94.0,12,24.0
5.692547095417976,0.550000011920929,50,100.0,5,10.0
4.1925215148925785,0.5799999833106995,48,96.0,10,20.0
4.675277123451233,0.36000001430511475,20,40.0,16,32.0
3.082531442642212,0.44999998807907104,32,64.0,13,26.0
5.109207973480225,0.5099999904632568,50,100.0,1,2.0
3.123364161401987,0.6000000238418579,50,100.0,10,20.0
2.4199582386016845,0.5400000214576721,50,100.0,4,8.0
4.411250400543213,0.5600000023841858,48,96.0,8,16.0
3.872775020599365,0.3799999952316284,20,40.0,18,36.0
2.2695874118804933,0.6000000238418579,38,76.0,22,44.0
5.65592529296875,0.1599999964237213,5,10.0,11,22.0
1.9428709316253663,0.5400000214576721,35,70.0,19,38.0
2.6836476039886477,0.4000000059604645,20,40.0,20,40.0
3.0493473196029663,0.5600000023841858,41,82.0,15,30.0
3.92107964515686,0.5299999713897705,50,100.0,3,6.0
