loss,accuracy,absence,absence_perc,hierarchical,hierarchical_perc
5.884080390930176,0.5,50,100.0,0,0.0
5.126302099227905,0.38999998569488525,32,64.0,7,14.000000000000002
5.2839250564575195,0.47999998927116394,39,78.0,9,18.0
2.743410071581602,0.6600000262260437,49,98.0,17,34.0
4.905744018554688,0.12999999523162842,4,8.0,9,18.0
4.372078590393066,0.5,50,100.0,0,0.0
3.9623856653273104,0.5199999809265137,50,100.0,2,4.0
7.715587158203125,0.3499999940395355,35,70.0,0,0.0
11.854310455322265,0.15000000596046448,0,0.0,15,30.0
4.316272506713867,0.5099999904632568,50,100.0,1,2.0
2.524861249923706,0.5,43,86.0,7,14.000000000000002
2.5992174625396727,0.46000000834465027,43,86.0,3,6.0
7.8296342468261715,0.14000000059604645,2,4.0,12,24.0
5.107003765106201,0.5,50,100.0,0,0.0
5.0780981826782225,0.4300000071525574,34,68.0,9,18.0
3.0040437316894533,0.5799999833106995,50,100.0,8,16.0
5.897667999267578,0.1899999976158142,11,22.0,8,16.0
2.216514268517494,0.6200000047683716,46,92.0,16,32.0
8.211288986206055,0.03999999910593033,0,0.0,4,8.0
6.876518478393555,0.5,50,100.0,0,0.0
4.100191040039062,0.47999998927116394,47,94.0,1,2.0
5.483819427490235,0.5,50,100.0,0,0.0
3.7063721418380737,0.5199999809265137,50,100.0,2,4.0
7.438868179321289,0.5,50,100.0,0,0.0
2.668756351470947,0.5400000214576721,50,100.0,4,8.0
7.605194091796875,0.2199999988079071,10,20.0,12,24.0
7.9574166107177735,0.5,50,100.0,0,0.0
3.8401540422439577,0.5,35,70.0,15,30.0
5.27000280380249,0.49000000953674316,49,98.0,0,0.0
3.8262872219085695,0.5,50,100.0,0,0.0
5.441856994628906,0.5,50,100.0,0,0.0
7.695609893798828,0.07999999821186066,0,0.0,8,16.0
2.979021053314209,0.3499999940395355,15,30.0,20,40.0
3.2965458679199218,0.6000000238418579,46,92.0,14,28.000000000000004
5.147394475936889,0.17000000178813934,9,18.0,8,16.0
7.077107467651367,0.5,50,100.0,0,0.0
1.9860021209716796,0.6299999952316284,49,98.0,14,28.000000000000004
4.499922580718994,0.5,50,100.0,0,0.0
5.945421104431152,0.20000000298023224,7,14.000000000000002,13,26.0
5.07587530836463,0.5600000023841858,50,100.0,6,12.0
6.509494457244873,0.5,50,100.0,0,0.0
7.964148864746094,0.5,50,100.0,0,0.0
2.937575979232788,0.6200000047683716,47,94.0,15,30.0
4.0557011795043945,0.4699999988079071,28,56.00000000000001,19,38.0
5.743161163330078,0.28999999165534973,16,32.0,13,26.0
3.759510383605957,0.5899999737739563,49,98.0,10,20.0
6.425550451278687,0.46000000834465027,45,90.0,1,2.0
3.1577789115905763,0.5699999928474426,45,90.0,12,24.0
1.7998472690582275,0.6000000238418579,46,92.0,14,28.000000000000004
2.2664482975006104,0.6800000071525574,46,92.0,22,44.0
4.672612209320068,0.5,50,100.0,0,0.0
1.7288150930404662,0.6200000047683716,49,98.0,13,26.0
5.997269897460938,0.47999998927116394,46,92.0,2,4.0
9.948531188964843,0.019999999552965164,0,0.0,2,4.0
3.842878713607788,0.5,50,100.0,0,0.0
5.9515038681030275,0.12999999523162842,0,0.0,13,26.0
6.524995250701904,0.5,50,100.0,0,0.0
2.4530137276649473,0.5099999904632568,48,96.0,3,6.0
4.069347763061524,0.5099999904632568,50,100.0,1,2.0
5.948016338348388,0.5099999904632568,50,100.0,1,2.0
1.8177224373817444,0.6399999856948853,44,88.0,20,40.0
3.043373334407806,0.5,41,82.0,9,18.0
6.758542366027832,0.5,50,100.0,0,0.0
4.066764640808105,0.4399999976158142,38,76.0,6,12.0
10.6617626953125,0.12999999523162842,0,0.0,13,26.0
3.6377065849304198,0.36000001430511475,13,26.0,23,46.0
2.7171857738494873,0.550000011920929,49,98.0,6,12.0
7.583331985473633,0.5,50,100.0,0,0.0
5.379525489807129,0.5199999809265137,50,100.0,2,4.0
4.153795490264892,0.36000001430511475,26,52.0,10,20.0
6.168776626586914,0.15000000596046448,4,8.0,11,22.0
7.888185005187989,0.1599999964237213,10,20.0,6,12.0
2.922204074859619,0.5600000023841858,44,88.0,12,24.0
3.9005051040649414,0.5099999904632568,49,98.0,2,4.0
1.7535108232498169,0.5699999928474426,48,96.0,9,18.0
6.074659957885742,0.2199999988079071,6,12.0,16,32.0
7.007736740112304,0.5,50,100.0,0,0.0
5.479788188934326,0.27000001072883606,12,24.0,15,30.0
4.280817623138428,0.5299999713897705,50,100.0,3,6.0
6.49459228515625,0.5,50,100.0,0,0.0
4.580554237365723,0.5299999713897705,50,100.0,3,6.0
2.628971061706543,0.5199999809265137,45,90.0,7,14.000000000000002
8.318653411865235,0.10999999940395355,0,0.0,11,22.0
5.865229873657227,0.5,50,100.0,0,0.0
6.577173042297363,0.47999998927116394,48,96.0,0,0.0
5.954217987060547,0.10000000149011612,3,6.0,7,14.000000000000002
5.655042762756348,0.5,50,100.0,0,0.0
3.721854133605957,0.5,50,100.0,0,0.0
2.5362209701538085,0.5799999833106995,42,84.0,16,32.0
4.9357508945465085,0.46000000834465027,39,78.0,7,14.000000000000002
5.267519721984863,0.6000000238418579,50,100.0,10,20.0
2.653814365155995,0.5799999833106995,44,88.0,14,28.000000000000004
2.231854543685913,0.27000001072883606,14,28.000000000000004,13,26.0
2.4174148750305178,0.5299999713897705,39,78.0,14,28.000000000000004
6.416094188690185,0.5,50,100.0,0,0.0
4.104438581466675,0.25,8,16.0,17,34.0
2.668627872467041,0.5799999833106995,40,80.0,18,36.0
1.9779133093357086,0.5299999713897705,43,86.0,10,20.0
5.744002380371094,0.5,50,100.0,0,0.0
3.8648999977111815,0.5099999904632568,50,100.0,1,2.0
