run,loss,accuracy,absence,absence_perc,linear,linear_perc,train_size
1,0.0003389589115977287,1.0,50,100.0,50,100.0,800
2,0.00015534032660070808,1.0,50,100.0,50,100.0,800
3,0.0001787749258801341,1.0,50,100.0,50,100.0,800
4,0.00017005303350742907,1.0,50,100.0,50,100.0,800
5,0.00017183402320370078,1.0,50,100.0,50,100.0,800
6,0.000198469270253554,1.0,50,100.0,50,100.0,800
7,0.0001919062458910048,1.0,50,100.0,50,100.0,800
8,0.00015402527642436326,1.0,50,100.0,50,100.0,800
9,0.00016937571344897152,1.0,50,100.0,50,100.0,800
10,0.00017098912911023945,1.0,50,100.0,50,100.0,800
11,0.0001530678302515298,1.0,50,100.0,50,100.0,800
12,0.0001885512558510527,1.0,50,100.0,50,100.0,800
13,0.00016528043837752194,1.0,50,100.0,50,100.0,800
14,0.0001344474873621948,1.0,50,100.0,50,100.0,800
15,0.0001623410824686289,1.0,50,100.0,50,100.0,800
16,0.00016962895810138434,1.0,50,100.0,50,100.0,800
17,0.0001708990422775969,1.0,50,100.0,50,100.0,800
18,0.00016982850385829806,1.0,50,100.0,50,100.0,800
19,0.0002290576958330348,1.0,50,100.0,50,100.0,800
20,0.0001737626353860833,1.0,50,100.0,50,100.0,800
21,0.00016681148787029088,1.0,50,100.0,50,100.0,800
22,0.00021101892169099302,1.0,50,100.0,50,100.0,800
23,0.00020147075119893997,1.0,50,100.0,50,100.0,800
24,0.00018935190921183674,1.0,50,100.0,50,100.0,800
25,0.0001729470130521804,1.0,50,100.0,50,100.0,800
26,0.00016441166400909423,1.0,50,100.0,50,100.0,800
27,0.00017964782047783957,1.0,50,100.0,50,100.0,800
28,0.00018177908757934346,1.0,50,100.0,50,100.0,800
29,0.00020045689394464715,1.0,50,100.0,50,100.0,800
30,0.00018058279587421567,1.0,50,100.0,50,100.0,800
31,0.00016766762535553426,1.0,50,100.0,50,100.0,800
32,0.0001653775601880625,1.0,50,100.0,50,100.0,800
33,0.00016699929139576852,1.0,50,100.0,50,100.0,800
34,0.00014938780397642405,1.0,50,100.0,50,100.0,800
35,0.00016937948297709226,1.0,50,100.0,50,100.0,800
36,0.00018181354593252763,1.0,50,100.0,50,100.0,800
37,0.00018657289445400238,1.0,50,100.0,50,100.0,800
38,0.000150910985248629,1.0,50,100.0,50,100.0,800
