run,loss,accuracy,absence,absence_perc,linear,linear_perc,train_size
1,0.05607734797988087,0.9599999785423279,50,100.0,46,92.0,200
2,0.006839157669164706,1.0,50,100.0,50,100.0,200
3,0.22014139037812128,0.9100000262260437,50,100.0,41,82.0,200
4,0.12506636480800806,0.9300000071525574,47,94.0,46,92.0,200
5,0.13921710316324606,0.9399999976158142,47,94.0,47,94.0,200
6,0.10377687790198252,0.9599999785423279,50,100.0,46,92.0,200
7,0.06368833680637181,0.9800000190734863,48,96.0,50,100.0,200
8,0.07403504337649792,0.9700000286102295,48,96.0,49,98.0,200
9,0.22893109112977983,0.9100000262260437,45,90.0,46,92.0,200
10,0.14163345993176335,0.949999988079071,46,92.0,49,98.0,200
11,0.10193444736301899,0.9700000286102295,48,96.0,49,98.0,200
12,0.04202400364913046,0.9800000190734863,48,96.0,50,100.0,200
13,0.11391364290961065,0.9599999785423279,49,98.0,47,94.0,200
14,0.092347719760146,0.9599999785423279,49,98.0,47,94.0,200
15,0.10449951495043934,0.9700000286102295,49,98.0,48,96.0,200
16,0.09175309486687183,0.9800000190734863,49,98.0,49,98.0,200
17,0.14660449147224427,0.9599999785423279,47,94.0,49,98.0,200
18,0.02781714975833893,1.0,50,100.0,50,100.0,200
19,0.036845433241687715,0.9900000095367432,50,100.0,49,98.0,200
20,0.12915945071028545,0.9700000286102295,49,98.0,48,96.0,200
21,0.17522526353597642,0.9300000071525574,48,96.0,45,90.0,200
22,0.05090123366564512,0.9800000190734863,50,100.0,48,96.0,200
23,0.05656063300091773,0.9800000190734863,50,100.0,48,96.0,200
24,0.08788192651292775,0.9700000286102295,48,96.0,49,98.0,200
25,0.10863795167766511,0.9700000286102295,48,96.0,49,98.0,200
26,0.007869329980167095,1.0,50,100.0,50,100.0,200
27,0.004215214411960915,1.0,50,100.0,50,100.0,200
28,0.03597718683304265,0.9900000095367432,49,98.0,50,100.0,200
29,0.05419043065317965,0.9800000190734863,50,100.0,48,96.0,200
30,0.16739230907289313,0.9599999785423279,48,96.0,48,96.0,200
31,0.04581022362835938,0.9900000095367432,50,100.0,49,98.0,200
32,0.01931425385802868,0.9900000095367432,50,100.0,49,98.0,200
33,0.02478501045552548,0.9900000095367432,50,100.0,49,98.0,200
34,0.03793460278568091,0.9800000190734863,49,98.0,49,98.0,200
35,0.12258894462516765,0.9599999785423279,49,98.0,47,94.0,200
36,0.1401454734976869,0.9399999976158142,44,88.0,50,100.0,200
37,0.11604868687689304,0.9599999785423279,47,94.0,49,98.0,200
38,0.053937947672966405,0.9800000190734863,49,98.0,49,98.0,200
39,0.02517758110538125,0.9900000095367432,50,100.0,49,98.0,200
40,0.03793278486460622,0.9800000190734863,49,98.0,49,98.0,200
41,0.04442753702402115,0.9800000190734863,49,98.0,49,98.0,200
42,0.05588090967619792,0.9900000095367432,49,98.0,50,100.0,200
43,0.006783385375747457,1.0,50,100.0,50,100.0,200
44,0.16832452535629272,0.949999988079071,48,96.0,47,94.0,200
45,0.05554707922390662,0.949999988079071,48,96.0,47,94.0,200
46,0.004083355665206909,1.0,50,100.0,50,100.0,200
47,0.0692296442904626,0.9599999785423279,47,94.0,49,98.0,200
48,0.006319880942464806,1.0,50,100.0,50,100.0,200
49,0.007588218719320139,1.0,50,100.0,50,100.0,200
50,0.04280770151875913,0.9700000286102295,48,96.0,49,98.0,200
51,0.19870294383494183,0.9300000071525574,47,94.0,46,92.0,200
52,0.016801856763559043,1.0,50,100.0,50,100.0,200
53,0.037900056325743205,0.9900000095367432,50,100.0,49,98.0,200
54,0.031971710762009026,0.9900000095367432,50,100.0,49,98.0,200
55,0.055270369469653816,0.9800000190734863,49,98.0,49,98.0,200
56,0.12320102574536577,0.949999988079071,49,98.0,46,92.0,200
57,0.019453853694722058,1.0,50,100.0,50,100.0,200
58,0.0023904613591730593,1.0,50,100.0,50,100.0,200
59,0.03176216471940279,0.9900000095367432,49,98.0,50,100.0,200
60,0.01149545498250518,0.9900000095367432,49,98.0,50,100.0,200
61,0.17187542919782572,0.9399999976158142,47,94.0,47,94.0,200
62,0.0021713009011000393,1.0,50,100.0,50,100.0,200
63,0.08456479375250638,0.9599999785423279,48,96.0,48,96.0,200
64,0.026737901693122693,0.9900000095367432,49,98.0,50,100.0,200
65,0.0031567154452204703,1.0,50,100.0,50,100.0,200
66,0.0460084780678153,0.9800000190734863,49,98.0,49,98.0,200
67,0.05219996170446393,0.9700000286102295,47,94.0,50,100.0,200
68,0.031862703114748,0.9800000190734863,49,98.0,49,98.0,200
69,0.1971281828940846,0.9399999976158142,48,96.0,46,92.0,200
70,0.1570682513855718,0.9300000071525574,47,94.0,46,92.0,200
71,0.07377146859653294,0.9700000286102295,49,98.0,48,96.0,200
72,0.01573181226849556,1.0,50,100.0,50,100.0,200
73,0.034137803330086175,0.9900000095367432,50,100.0,49,98.0,200
74,0.09145016394555569,0.9700000286102295,47,94.0,50,100.0,200
75,0.0048814657237380744,1.0,50,100.0,50,100.0,200
76,0.05225138617242919,0.9700000286102295,48,96.0,49,98.0,200
77,0.004245739772450179,1.0,50,100.0,50,100.0,200
78,0.039672233164310455,0.9800000190734863,49,98.0,49,98.0,200
79,0.027772783283144236,0.9900000095367432,49,98.0,50,100.0,200
80,0.07553915761120152,0.9700000286102295,48,96.0,49,98.0,200
81,0.047541226260364056,0.9599999785423279,50,100.0,46,92.0,200
82,0.03270120218541706,0.9900000095367432,50,100.0,49,98.0,200
83,0.02239996863529086,0.9800000190734863,49,98.0,49,98.0,200
84,0.09661421410739422,0.9700000286102295,48,96.0,49,98.0,200
85,0.3698707226384431,0.9200000166893005,48,96.0,44,88.0,200
86,0.010919362911372445,1.0,50,100.0,50,100.0,200
87,0.14151608631480486,0.9800000190734863,48,96.0,50,100.0,200
88,0.029721945960482117,0.9900000095367432,49,98.0,50,100.0,200
89,0.19896264940034597,0.9599999785423279,48,96.0,48,96.0,200
90,0.18500527068332304,0.949999988079071,49,98.0,46,92.0,200
91,0.11048450927250088,0.9599999785423279,48,96.0,48,96.0,200
92,0.012803241249057464,1.0,50,100.0,50,100.0,200
93,0.02433307407423854,0.9900000095367432,50,100.0,49,98.0,200
94,0.03129050949239172,0.9900000095367432,50,100.0,49,98.0,200
95,0.057493892214260996,0.9800000190734863,48,96.0,50,100.0,200
96,0.029854323407635094,0.9800000190734863,49,98.0,49,98.0,200
97,0.11977169806603342,0.9800000190734863,48,96.0,50,100.0,200
98,0.06944698810577393,0.9700000286102295,48,96.0,49,98.0,200
99,0.15520022544602396,0.949999988079071,48,96.0,47,94.0,200
