run,loss,accuracy,absence,absence_perc,linear,linear_perc,train_size
1,0.00020532084978185593,1.0,50,100.0,50,100.0,700
2,0.00022286772669758648,1.0,50,100.0,50,100.0,700
3,0.00020636520348489286,1.0,50,100.0,50,100.0,700
4,0.00022672804247122257,1.0,50,100.0,50,100.0,700
5,0.0001712553552351892,1.0,50,100.0,50,100.0,700
6,0.00020127612049691379,1.0,50,100.0,50,100.0,700
7,0.0001890759007073939,1.0,50,100.0,50,100.0,700
8,0.00019237593514844775,1.0,50,100.0,50,100.0,700
9,0.0001538076638826169,1.0,50,100.0,50,100.0,700
10,0.00020186206966172905,1.0,50,100.0,50,100.0,700
11,0.0001567591287312098,1.0,50,100.0,50,100.0,700
12,0.0001529376517282799,1.0,50,100.0,50,100.0,700
13,0.00015846025955397635,1.0,50,100.0,50,100.0,700
14,0.0001672490668715909,1.0,50,100.0,50,100.0,700
15,0.00015084831102285534,1.0,50,100.0,50,100.0,700
16,0.00017632775387028233,1.0,50,100.0,50,100.0,700
17,0.00014817566610872746,1.0,50,100.0,50,100.0,700
18,0.00018036300549283623,1.0,50,100.0,50,100.0,700
19,0.00018639718764461576,1.0,50,100.0,50,100.0,700
20,0.0001555767364334315,1.0,50,100.0,50,100.0,700
21,0.00021250916470307856,1.0,50,100.0,50,100.0,700
22,0.0001949199120281264,1.0,50,100.0,50,100.0,700
23,0.00018418981053400785,1.0,50,100.0,50,100.0,700
24,0.00018337778165005146,1.0,50,100.0,50,100.0,700
25,0.00016202301747398452,1.0,50,100.0,50,100.0,700
26,0.00016646632633637637,1.0,50,100.0,50,100.0,700
27,0.00017930656089447437,1.0,50,100.0,50,100.0,700
28,0.0001724579744040966,1.0,50,100.0,50,100.0,700
29,0.00017207192722707988,1.0,50,100.0,50,100.0,700
30,0.00020074427826330065,1.0,50,100.0,50,100.0,700
31,0.00019179876195266844,1.0,50,100.0,50,100.0,700
32,0.0001857671613106504,1.0,50,100.0,50,100.0,700
33,0.00016261924989521503,1.0,50,100.0,50,100.0,700
34,0.00018710912787355482,1.0,50,100.0,50,100.0,700
35,0.00017652458511292933,1.0,50,100.0,50,100.0,700
36,0.00019424231606535614,1.0,50,100.0,50,100.0,700
37,0.00021124128659721463,1.0,50,100.0,50,100.0,700
38,0.0001933597750030458,1.0,50,100.0,50,100.0,700
39,0.00018088067532517015,1.0,50,100.0,50,100.0,700
40,0.00014596969180274755,1.0,50,100.0,50,100.0,700
41,0.0001765671547036618,1.0,50,100.0,50,100.0,700
42,0.0002047283184947446,1.0,50,100.0,50,100.0,700
43,0.00019896998303011059,1.0,50,100.0,50,100.0,700
44,0.00017277331207878887,1.0,50,100.0,50,100.0,700
45,0.0002317270904313773,1.0,50,100.0,50,100.0,700
46,0.000213625161559321,1.0,50,100.0,50,100.0,700
47,0.00019137588038574903,1.0,50,100.0,50,100.0,700
48,0.00016318864654749632,1.0,50,100.0,50,100.0,700
49,0.00021586077724350617,1.0,50,100.0,50,100.0,700
50,0.0001626421301625669,1.0,50,100.0,50,100.0,700
51,0.00018787002481985838,1.0,50,100.0,50,100.0,700
52,0.00015740983828436584,1.0,50,100.0,50,100.0,700
53,0.00019987882871646433,1.0,50,100.0,50,100.0,700
54,0.00018959252221975475,1.0,50,100.0,50,100.0,700
55,0.0002109109191223979,1.0,50,100.0,50,100.0,700
56,0.0001672301976941526,1.0,50,100.0,50,100.0,700
57,0.00018506221647839993,1.0,50,100.0,50,100.0,700
58,0.00019733820168767126,1.0,50,100.0,50,100.0,700
59,0.0001950327755184844,1.0,50,100.0,50,100.0,700
60,0.0001848442363552749,1.0,50,100.0,50,100.0,700
61,0.0002144729031715542,1.0,50,100.0,50,100.0,700
62,0.00017722158925607802,1.0,50,100.0,50,100.0,700
63,0.00017736200708895922,1.0,50,100.0,50,100.0,700
64,0.00015216016210615636,1.0,50,100.0,50,100.0,700
65,0.00018207941495347767,1.0,50,100.0,50,100.0,700
66,0.0001866602851077914,1.0,50,100.0,50,100.0,700
67,0.0001691019139252603,1.0,50,100.0,50,100.0,700
68,0.00016132939606904983,1.0,50,100.0,50,100.0,700
69,0.00019293787772767246,1.0,50,100.0,50,100.0,700
70,0.0001680433066212572,1.0,50,100.0,50,100.0,700
71,0.0001918288826709613,1.0,50,100.0,50,100.0,700
72,0.00017543551919516176,1.0,50,100.0,50,100.0,700
73,0.00016658222826663405,1.0,50,100.0,50,100.0,700
74,0.00016261823591776192,1.0,50,100.0,50,100.0,700
75,0.0001862064452143386,1.0,50,100.0,50,100.0,700
76,0.00021213695697952061,1.0,50,100.0,50,100.0,700
77,0.00015456424152944238,1.0,50,100.0,50,100.0,700
78,0.00018971040844917297,1.0,50,100.0,50,100.0,700
79,0.00016884565528016538,1.0,50,100.0,50,100.0,700
80,0.00016786286956630648,1.0,50,100.0,50,100.0,700
81,0.00017310644267126918,1.0,50,100.0,50,100.0,700
82,0.00016160000232048332,1.0,50,100.0,50,100.0,700
83,0.00018302357115317135,1.0,50,100.0,50,100.0,700
84,0.00017082699021557347,1.0,50,100.0,50,100.0,700
85,0.00017242301255464553,1.0,50,100.0,50,100.0,700
86,0.0001615371528896503,1.0,50,100.0,50,100.0,700
87,0.0001849251420935616,1.0,50,100.0,50,100.0,700
88,0.0001627509479294531,1.0,50,100.0,50,100.0,700
89,0.00017112404224462808,1.0,50,100.0,50,100.0,700
90,0.0001711010403232649,1.0,50,100.0,50,100.0,700
91,0.00017762307747034355,1.0,50,100.0,50,100.0,700
92,0.00015847131609916687,1.0,50,100.0,50,100.0,700
93,0.00021418386255390943,1.0,50,100.0,50,100.0,700
94,0.0001720218826085329,1.0,50,100.0,50,100.0,700
95,0.00021349045273382216,1.0,50,100.0,50,100.0,700
96,0.00015468359022634105,1.0,50,100.0,50,100.0,700
97,0.00015758372959680855,1.0,50,100.0,50,100.0,700
98,0.00019108969601802528,1.0,50,100.0,50,100.0,700
99,0.00020143096044193952,1.0,50,100.0,50,100.0,700
100,0.00019898011931218206,1.0,50,100.0,50,100.0,700
