run,loss,accuracy,absence,absence_perc,linear,linear_perc,train_size
1,0.00040738658281043173,1.0,50,100.0,50,100.0,600
2,0.00019937395816668868,1.0,50,100.0,50,100.0,600
3,0.0002092932164669037,1.0,50,100.0,50,100.0,600
4,0.0002648823888739571,1.0,50,100.0,50,100.0,600
5,0.00019283138739410787,1.0,50,100.0,50,100.0,600
6,0.00026773855643114075,1.0,50,100.0,50,100.0,600
7,0.00022284112579654903,1.0,50,100.0,50,100.0,600
8,0.0002092462091241032,1.0,50,100.0,50,100.0,600
9,0.00019514002138748765,1.0,50,100.0,50,100.0,600
10,0.0002510659792460501,1.0,50,100.0,50,100.0,600
11,0.00021353528427425772,1.0,50,100.0,50,100.0,600
12,0.00020784190273843707,1.0,50,100.0,50,100.0,600
13,0.000199509093654342,1.0,50,100.0,50,100.0,600
14,0.00023597574792802334,1.0,50,100.0,50,100.0,600
15,0.00027262601302936674,1.0,50,100.0,50,100.0,600
16,0.00026935789501294496,1.0,50,100.0,50,100.0,600
17,0.00017941059253644197,1.0,50,100.0,50,100.0,600
18,0.0001727833051700145,1.0,50,100.0,50,100.0,600
19,0.00020321849558968097,1.0,50,100.0,50,100.0,600
20,0.00018021232652245088,1.0,50,100.0,50,100.0,600
21,0.00020601188880391418,1.0,50,100.0,50,100.0,600
22,0.00020474398508667945,1.0,50,100.0,50,100.0,600
23,0.0001976620126515627,1.0,50,100.0,50,100.0,600
24,0.0002162291662534699,1.0,50,100.0,50,100.0,600
25,0.0002273313980549574,1.0,50,100.0,50,100.0,600
26,0.00018392233061604202,1.0,50,100.0,50,100.0,600
27,0.00017936206189915537,1.0,50,100.0,50,100.0,600
28,0.00020152001001406462,1.0,50,100.0,50,100.0,600
29,0.0002029478462645784,1.0,50,100.0,50,100.0,600
30,0.00021746803889982402,1.0,50,100.0,50,100.0,600
31,0.0002011109923478216,1.0,50,100.0,50,100.0,600
32,0.0001762532931752503,1.0,50,100.0,50,100.0,600
33,0.0002664730744436383,1.0,50,100.0,50,100.0,600
34,0.00018565950798802078,1.0,50,100.0,50,100.0,600
35,0.0002510033955331892,1.0,50,100.0,50,100.0,600
36,0.0001961207902058959,1.0,50,100.0,50,100.0,600
37,0.00024743160000070927,1.0,50,100.0,50,100.0,600
38,0.00026806851266883316,1.0,50,100.0,50,100.0,600
39,0.00019163991848472506,1.0,50,100.0,50,100.0,600
40,0.00023631985997781156,1.0,50,100.0,50,100.0,600
41,0.00016177131154108794,1.0,50,100.0,50,100.0,600
42,0.0002485079562757164,1.0,50,100.0,50,100.0,600
43,0.000199888123315759,1.0,50,100.0,50,100.0,600
44,0.00019084144616499544,1.0,50,100.0,50,100.0,600
45,0.00022108224919065834,1.0,50,100.0,50,100.0,600
46,0.0002311085764085874,1.0,50,100.0,50,100.0,600
47,0.0002074426703620702,1.0,50,100.0,50,100.0,600
48,0.00016320061637088658,1.0,50,100.0,50,100.0,600
49,0.00019880158826708792,1.0,50,100.0,50,100.0,600
50,0.00023994100280106068,1.0,50,100.0,50,100.0,600
51,0.00020169846451608463,1.0,50,100.0,50,100.0,600
52,0.0002886124211363494,1.0,50,100.0,50,100.0,600
53,0.0001748953713104129,1.0,50,100.0,50,100.0,600
54,0.00028158564266050234,1.0,50,100.0,50,100.0,600
55,0.00022282525547780098,1.0,50,100.0,50,100.0,600
56,0.00019602075044531376,1.0,50,100.0,50,100.0,600
57,0.0002550701194559224,1.0,50,100.0,50,100.0,600
58,0.0002757916387054138,1.0,50,100.0,50,100.0,600
59,0.0001993199740536511,1.0,50,100.0,50,100.0,600
60,0.0002729697595350444,1.0,50,100.0,50,100.0,600
61,0.00030051817186176776,1.0,50,100.0,50,100.0,600
62,0.0001520161412190646,1.0,50,100.0,50,100.0,600
63,0.00018454496399499475,1.0,50,100.0,50,100.0,600
64,0.0005055276106577367,1.0,50,100.0,50,100.0,600
65,0.0001900600700173527,1.0,50,100.0,50,100.0,600
66,0.00019367368746316062,1.0,50,100.0,50,100.0,600
67,0.0002233194059226662,1.0,50,100.0,50,100.0,600
68,0.0001937484263908118,1.0,50,100.0,50,100.0,600
69,0.0002052735653705895,1.0,50,100.0,50,100.0,600
70,0.00021535853331442923,1.0,50,100.0,50,100.0,600
71,0.00022389867343008518,1.0,50,100.0,50,100.0,600
72,0.00021617472753860057,1.0,50,100.0,50,100.0,600
73,0.0002312239131424576,1.0,50,100.0,50,100.0,600
74,0.00026272127870470286,1.0,50,100.0,50,100.0,600
75,0.00028081671800464394,1.0,50,100.0,50,100.0,600
76,0.0002265311259543523,1.0,50,100.0,50,100.0,600
77,0.00025958240788895634,1.0,50,100.0,50,100.0,600
78,0.00021253277955111117,1.0,50,100.0,50,100.0,600
79,0.00022329734056256712,1.0,50,100.0,50,100.0,600
80,0.0002223201736342162,1.0,50,100.0,50,100.0,600
81,0.0001959911099402234,1.0,50,100.0,50,100.0,600
82,0.00021845263894647359,1.0,50,100.0,50,100.0,600
83,0.00022832051239674912,1.0,50,100.0,50,100.0,600
84,0.00019251931342296303,1.0,50,100.0,50,100.0,600
85,0.00019938941171858458,1.0,50,100.0,50,100.0,600
86,0.0002023244963493198,1.0,50,100.0,50,100.0,600
87,0.0002727919098106213,1.0,50,100.0,50,100.0,600
88,0.00020358683541417123,1.0,50,100.0,50,100.0,600
89,0.00022532129602041096,1.0,50,100.0,50,100.0,600
90,0.00020656107866670937,1.0,50,100.0,50,100.0,600
91,0.0002305164426798001,1.0,50,100.0,50,100.0,600
92,0.00019641289341961965,1.0,50,100.0,50,100.0,600
93,0.00021192670683376492,1.0,50,100.0,50,100.0,600
94,0.0001989117858465761,1.0,50,100.0,50,100.0,600
95,0.00026334147085435686,1.0,50,100.0,50,100.0,600
96,0.00026359608629718424,1.0,50,100.0,50,100.0,600
97,0.0002414684696123004,1.0,50,100.0,50,100.0,600
